epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.29344,0.94008,1.64681,0.0,0.20673,0.0002999,36.6,0.0215,0.1421,0.4052,0.1083,0.4393,0.2743,0.0563
2,A,0.94113,0.86416,1.01809,0.0,,0.0002997,35.6,,,,,,,
3,A,0.66675,0.74654,0.58697,0.0,,0.0002993,35.6,,,,,,,
4,A,0.44497,0.51782,0.37212,0.0,,0.0002988,35.6,,,,,,,
5,A,0.30305,0.33221,0.27389,0.0,0.61673,0.0002982,35.6,0.2643,0.7607,0.7849,0.479,0.6748,0.8374,0.5161
6,A,0.23103,0.24555,0.21651,0.0,,0.0002973,36.0,,,,,,,
7,A,0.19431,0.20346,0.18516,0.0,,0.0002964,36.0,,,,,,,
8,A,0.16849,0.17488,0.16211,0.0,,0.0002953,35.5,,,,,,,
9,A,0.15298,0.16051,0.14546,0.0,,0.000294,35.4,,,,,,,
10,A,0.13702,0.146,0.12804,0.0,0.75614,0.0002927,35.4,0.6237,0.7997,0.896,0.6788,0.7832,0.8823,0.6291
11,A,0.123,0.12985,0.11615,0.0,,0.0002911,35.5,,,,,,,
12,A,0.11334,0.12118,0.10549,0.0,,0.0002895,35.5,,,,,,,
13,A,0.10195,0.11038,0.09352,0.0,,0.0002877,35.5,,,,,,,
14,A,0.10146,0.10906,0.09387,0.0,,0.0002857,35.5,,,,,,,
15,A,0.09211,0.10005,0.08417,0.0,0.72173,0.0002837,35.5,0.5913,0.7373,0.7992,0.6418,0.7372,0.8949,0.6504
16,A,0.088,0.09584,0.08016,0.0,,0.0002814,35.5,,,,,,,
17,A,0.08047,0.08868,0.07226,0.0,,0.0002791,35.5,,,,,,,
18,A,0.07874,0.08701,0.07047,0.0,,0.0002766,35.5,,,,,,,
19,A,0.07655,0.08497,0.06813,0.0,,0.0002741,35.5,,,,,,,
20,A,0.07442,0.08242,0.06642,0.0,0.74768,0.0002714,35.5,0.6179,0.7965,0.8829,0.6201,0.7675,0.9011,0.6479
21,B,25.26749,0.43027,0.61508,2474.48147,,0.0002685,43.2,,,,,,,
22,B,15.43403,0.30894,0.36863,1509.52489,,0.0002656,42.8,,,,,,,
23,B,12.50195,0.26338,0.29964,1222.04382,,0.0002625,42.8,,,,,,,
24,B,10.57981,0.24353,0.26845,1032.38157,,0.0002593,42.8,,,,,,,
25,B,9.20712,0.22558,0.24607,897.12914,0.61826,0.0002561,42.8,0.4048,0.7551,0.5889,0.501,0.6645,0.8542,0.5594
26,B,8.19094,0.21192,0.21967,797.51419,,0.0002527,42.9,,,,,,,
27,B,7.39432,0.1947,0.19691,719.85152,,0.0002492,42.9,,,,,,,
28,B,6.82097,0.19049,0.19344,662.90071,,0.0002456,42.9,,,,,,,
29,B,6.31471,0.17991,0.1722,613.86512,,0.0002419,42.9,,,,,,,
30,B,4.78815,0.18227,0.17562,460.92104,0.70618,0.0002382,43.1,0.4657,0.8202,0.7593,0.6402,0.7439,0.8949,0.619
31,B,3.72067,0.17827,0.17745,354.2806,,0.0002343,43.0,,,,,,,
32,B,3.41783,0.16693,0.15874,325.49934,,0.0002304,43.0,,,,,,,
33,B,3.26078,0.16151,0.15237,310.38399,,0.0002264,43.0,,,,,,,
34,B,3.16043,0.1489,0.1397,301.61241,,0.0002223,43.0,,,,,,,
35,B,3.08924,0.14365,0.13033,295.2242,0.71159,0.0002181,43.0,0.5542,0.776,0.7945,0.653,0.7801,0.8502,0.5731
36,B,3.03459,0.13578,0.12225,290.55684,,0.0002139,43.0,,,,,,,
37,B,2.99885,0.13159,0.11913,287.34933,,0.0002096,43.4,,,,,,,
38,B,2.94522,0.13115,0.11568,282.18074,,0.0002052,43.4,,,,,,,
39,B,2.86588,0.12702,0.1127,274.60217,,0.0002008,43.7,,,,,,,
