epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.30572,0.94188,1.66955,0.0,0.0,0.0,0.2234,0.0002997,27.9,0.1841,0.2083,0.2486,0.0693,0.3761,0.3748,0.1027
2,A,0.90092,0.84934,0.95249,0.0,0.0,0.0,,0.0002988,27.6,,,,,,,
3,A,0.61881,0.70648,0.53115,0.0,0.0,0.0,,0.0002973,27.9,,,,,,,
4,A,0.39177,0.45278,0.33076,0.0,0.0,0.0,,0.0002953,27.7,,,,,,,
5,A,0.27045,0.293,0.24789,0.0,0.0,0.0,0.50761,0.0002927,28.0,0.3515,0.688,0.4618,0.514,0.2302,0.888,0.4197
6,A,0.21807,0.23029,0.20585,0.0,0.0,0.0,,0.0002895,27.9,,,,,,,
7,A,0.17881,0.18934,0.16828,0.0,0.0,0.0,,0.0002857,27.7,,,,,,,
8,A,0.15982,0.16693,0.15272,0.0,0.0,0.0,,0.0002814,27.9,,,,,,,
9,A,0.1338,0.14156,0.12605,0.0,0.0,0.0,,0.0002766,27.8,,,,,,,
10,A,0.11976,0.12804,0.11149,0.0,0.0,0.0,0.7442,0.0002714,27.9,0.6183,0.6917,0.9143,0.6792,0.8183,0.9094,0.5783
11,A,0.11181,0.11928,0.10435,0.0,0.0,0.0,,0.0002656,27.9,,,,,,,
12,A,0.10511,0.1134,0.09681,0.0,0.0,0.0,,0.0002593,27.8,,,,,,,
13,A,0.09763,0.1052,0.09007,0.0,0.0,0.0,,0.0002527,28.0,,,,,,,
14,A,0.0898,0.09762,0.08197,0.0,0.0,0.0,,0.0002456,27.8,,,,,,,
15,A,0.08309,0.09129,0.07489,0.0,0.0,0.0,0.7869,0.0002382,28.0,0.5676,0.874,0.9089,0.7786,0.8293,0.9247,0.6252
16,A,0.08669,0.09364,0.07975,0.0,0.0,0.0,,0.0002304,27.9,,,,,,,
17,A,0.07581,0.08401,0.06761,0.0,0.0,0.0,,0.0002223,27.9,,,,,,,
18,A,0.07234,0.08054,0.06413,0.0,0.0,0.0,,0.0002139,27.9,,,,,,,
19,A,0.06884,0.07648,0.0612,0.0,0.0,0.0,,0.0002052,27.9,,,,,,,
20,A,0.06705,0.07474,0.05935,0.0,0.0,0.0,0.80532,0.0001964,27.8,0.6344,0.8192,0.9246,0.7533,0.8456,0.935,0.7252
21,B,166.23273,0.69554,1.54088,16529.8378,-0.694269,0.653126,,0.0001873,46.9,,,,,,,
22,B,70.13124,0.74942,1.23222,6932.81571,-0.72123,0.691524,,0.0001781,46.7,,,,,,,
23,B,55.63147,0.70677,1.12512,5490.3065,-0.726064,0.701972,,0.0001688,46.7,,,,,,,
24,B,45.65644,0.65094,0.99574,4502.08364,-0.731066,0.711204,,0.0001594,46.7,,,,,,,
25,B,38.18291,0.59346,0.86743,3764.02829,-0.735528,0.719778,0.3053,0.00015,46.8,0.1284,0.4412,0.4387,0.0662,0.4117,0.505,0.1459
26,B,32.82102,0.54158,0.75876,3235.93299,-0.740513,0.727116,,0.0001406,46.8,,,,,,,
27,B,28.99181,0.49174,0.66071,2860.47832,-0.744923,0.733052,,0.0001312,46.8,,,,,,,
28,B,26.12961,0.46324,0.61366,2578.08402,-0.748314,0.737906,,0.0001219,46.8,,,,,,,
29,B,23.90677,0.43214,0.55489,2360.33626,-0.751437,0.742439,,0.0001127,46.9,,,,,,,
30,B,22053.37674,0.59981,1.11818,2205273.61256,-0.824092,0.774427,0.38107,0.0001036,46.9,0.2681,0.3714,0.6984,0.0612,0.482,0.5167,0.2698
31,B,26.7231,0.49412,0.67171,2635.60875,-0.827552,0.791498,,9.48e-05,46.8,,,,,,,
32,B,22.71894,0.44574,0.57013,2242.67389,-0.831466,0.799983,,8.61e-05,46.9,,,,,,,
33,B,20.41955,0.41211,0.50428,2017.76776,-0.835413,0.805558,,7.77e-05,46.9,,,,,,,
34,B,18.90612,0.38022,0.45838,1870.34834,-0.838219,0.809799,,6.96e-05,46.8,,,,,,,
35,B,17.76096,0.35831,0.41857,1758.96067,-0.840722,0.813101,0.54504,6.18e-05,46.8,0.4378,0.5127,0.7631,0.4611,0.6631,0.5395,0.438
36,B,16.87354,0.33862,0.38318,1673.01366,-0.843005,0.816007,,5.44e-05,46.8,,,,,,,
37,B,16.15644,0.31767,0.35001,1604.03496,-0.845124,0.819242,,4.73e-05,46.8,,,,,,,
38,B,15.56356,0.30612,0.33405,1546.15145,-0.846894,0.821639,,4.07e-05,46.9,,,,,,,
39,B,15.11687,0.29083,0.32011,1502.96504,-0.848083,0.823157,,3.44e-05,46.9,,,,,,,
40,B,64273.32265,0.53585,1.22277,6427267.07772,-0.847499,0.790445,0.4662,2.86e-05,46.9,0.2547,0.547,0.7632,0.25,0.5028,0.696,0.2496
41,B,76.34585,0.41842,0.5479,7608.73644,-0.846764,0.79481,,2.34e-05,46.8,,,,,,,
42,B,48.77236,0.36651,0.44004,4859.29982,-0.847332,0.799004,,1.86e-05,46.9,,,,,,,
43,B,39.65006,0.34078,0.39613,3950.49504,-0.847847,0.802328,,1.43e-05,46.9,,,,,,,
44,B,35.36115,0.32879,0.36657,3523.63635,-0.848238,0.804896,,1.05e-05,46.9,,,,,,,
45,B,32.93027,0.31621,0.35061,3281.94361,-0.848559,0.806793,0.57988,7.3e-06,46.9,0.4602,0.568,0.7656,0.3963,0.5628,0.8715,0.4347
46,B,31.46698,0.30572,0.33278,3137.00903,-0.849016,0.808577,,4.7e-06,46.8,,,,,,,
47,B,30.55506,0.29887,0.32229,3046.69133,-0.84987,0.810005,,2.7e-06,46.8,,,,,,,
48,B,30.06619,0.29863,0.3195,2997.9098,-0.849278,0.810679,,1.2e-06,46.8,,,,,,,
49,B,29.78034,0.29228,0.30964,2970.17059,-0.850229,0.811176,,3e-07,46.8,,,,,,,
50,B,1860520.33432,0.28783,0.30531,186052029.88679,-0.878437,0.812245,0.63148,0.0,47.0,0.4635,0.7596,0.8837,0.4374,0.6071,0.8683,0.4007
