epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.35521,0.9493,1.76112,0.0,0.0,0.0,0.06104,0.0002999,35.2,0.0082,0.0783,0.2167,0.0141,0.0,0.0493,0.0606
2,A,1.05385,0.88348,1.22422,0.0,0.0,0.0,,0.0002997,34.7,,,,,,,
3,A,0.77772,0.77343,0.78201,0.0,0.0,0.0,,0.0002993,34.8,,,,,,,
4,A,0.54363,0.5961,0.49117,0.0,0.0,0.0,,0.0002988,35.1,,,,,,,
5,A,0.36555,0.39545,0.33565,0.0,0.0,0.0,0.54684,0.0002982,34.8,0.4287,0.6019,0.8043,0.3357,0.5807,0.7621,0.3145
6,A,0.27543,0.28679,0.26408,0.0,0.0,0.0,,0.0002973,34.8,,,,,,,
7,A,0.22199,0.23003,0.21395,0.0,0.0,0.0,,0.0002964,34.8,,,,,,,
8,A,0.1856,0.19261,0.17859,0.0,0.0,0.0,,0.0002953,34.8,,,,,,,
9,A,0.16864,0.17713,0.16014,0.0,0.0,0.0,,0.000294,34.8,,,,,,,
10,A,0.14911,0.15784,0.14038,0.0,0.0,0.0,0.68565,0.0002927,34.8,0.3764,0.8232,0.7713,0.6193,0.766,0.8209,0.6226
11,A,0.13349,0.14295,0.12403,0.0,0.0,0.0,,0.0002911,34.8,,,,,,,
12,A,0.11757,0.12711,0.10803,0.0,0.0,0.0,,0.0002895,34.7,,,,,,,
13,A,0.11076,0.11964,0.10188,0.0,0.0,0.0,,0.0002877,34.6,,,,,,,
14,A,0.10115,0.11037,0.09193,0.0,0.0,0.0,,0.0002857,34.6,,,,,,,
15,A,0.09584,0.10467,0.08702,0.0,0.0,0.0,0.75664,0.0002837,34.7,0.5567,0.8643,0.8937,0.6985,0.7704,0.8397,0.6731
