epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.22896,0.92841,1.52951,0.0,0.0,0.0,0.23809,0.0002999,34.6,0.1095,0.3553,0.5147,0.1535,0.3431,0.1615,0.0289
2,A,0.82571,0.83161,0.81981,0.0,0.0,0.0,,0.0002997,33.9,,,,,,,
3,A,0.57801,0.69119,0.46483,0.0,0.0,0.0,,0.0002993,33.9,,,,,,,
4,A,0.34914,0.4152,0.28308,0.0,0.0,0.0,,0.0002988,34.0,,,,,,,
5,A,0.23758,0.2611,0.21406,0.0,0.0,0.0,0.56352,0.0002982,33.9,0.4449,0.4709,0.7563,0.3828,0.6245,0.7156,0.5497
6,A,0.19547,0.20521,0.18574,0.0,0.0,0.0,,0.0002973,33.9,,,,,,,
7,A,0.16695,0.17542,0.15847,0.0,0.0,0.0,,0.0002964,34.0,,,,,,,
8,A,0.14699,0.15439,0.13959,0.0,0.0,0.0,,0.0002953,34.0,,,,,,,
9,A,0.1287,0.13581,0.1216,0.0,0.0,0.0,,0.000294,34.0,,,,,,,
10,A,0.11722,0.12664,0.1078,0.0,0.0,0.0,0.72142,0.0002927,34.0,0.5455,0.8042,0.8147,0.6386,0.6979,0.8991,0.6501
11,A,0.10593,0.11388,0.09799,0.0,0.0,0.0,,0.0002911,34.1,,,,,,,
12,A,0.09997,0.10834,0.09159,0.0,0.0,0.0,,0.0002895,34.0,,,,,,,
13,A,0.09381,0.10191,0.0857,0.0,0.0,0.0,,0.0002877,34.0,,,,,,,
14,A,0.08572,0.09385,0.07758,0.0,0.0,0.0,,0.0002857,33.9,,,,,,,
15,A,0.08253,0.09142,0.07364,0.0,0.0,0.0,0.76064,0.0002837,34.0,0.5886,0.8309,0.8056,0.7326,0.8057,0.9135,0.6475
16,A,0.07895,0.08723,0.07068,0.0,0.0,0.0,,0.0002814,34.0,,,,,,,
17,A,0.07693,0.08538,0.06847,0.0,0.0,0.0,,0.0002791,34.0,,,,,,,
18,A,0.07198,0.08,0.06395,0.0,0.0,0.0,,0.0002766,33.9,,,,,,,
19,A,0.07132,0.07891,0.06373,0.0,0.0,0.0,,0.0002741,33.9,,,,,,,
20,A,0.06893,0.07664,0.06121,0.0,0.0,0.0,0.76848,0.0002714,33.9,0.6131,0.8395,0.82,0.7486,0.759,0.9287,0.6705
21,B,1943.69608,0.39822,0.70138,1943346.35695,-0.723542,0.646619,,0.0002685,50.9,,,,,,,
22,B,6.59065,0.3277,0.36721,6444.4228,-0.759101,0.71327,,0.0002656,50.7,,,,,,,
23,B,4.6727,0.27275,0.28853,4593.49746,-0.767606,0.729463,,0.0002625,50.8,,,,,,,
24,B,3.59164,0.23241,0.2319,3563.21298,-0.777956,0.740993,,0.0002593,51.3,,,,,,,
25,B,2.88795,0.20586,0.19837,2892.01202,-0.787936,0.751161,0.73206,0.0002561,50.9,0.5315,0.7588,0.8371,0.6754,0.827,0.8844,0.6102
26,B,2.42866,0.19579,0.18724,2445.41067,-0.796585,0.760112,,0.0002527,50.8,,,,,,,
27,B,2.09447,0.18202,0.1722,2127.4166,-0.804191,0.768148,,0.0002492,50.8,,,,,,,
28,B,1.82737,0.16546,0.15247,1879.73876,-0.81071,0.7761,,0.0002456,50.8,,,,,,,
29,B,1.62511,0.15921,0.14742,1684.27006,-0.816443,0.782981,,0.0002419,50.8,,,,,,,
30,B,1.90385,0.15876,0.14872,1980.75369,-0.880181,0.837784,0.73436,0.0002382,50.9,0.5798,0.809,0.8748,0.6404,0.8027,0.8724,0.5613
31,B,1.49549,0.15295,0.1465,1574.54626,-0.883351,0.851588,,0.0002343,50.8,,,,,,,
32,B,1.30179,0.14957,0.13897,1386.03138,-0.885526,0.857009,,0.0002304,50.8,,,,,,,
33,B,1.15854,0.14415,0.13487,1248.00359,-0.888574,0.861255,,0.0002264,50.9,,,,,,,
34,B,1.03663,0.13922,0.12507,1133.9351,-0.891329,0.864847,,0.0002223,50.9,,,,,,,
35,B,0.94007,0.13488,0.12046,1042.35172,-0.894136,0.868446,0.71918,0.0002181,50.9,0.5713,0.7497,0.7447,0.7084,0.8391,0.8841,0.5368
36,B,0.86821,0.13351,0.12072,971.60976,-0.896774,0.871493,,0.0002139,51.3,,,,,,,
37,B,0.79771,0.12929,0.11454,907.14159,-0.900002,0.874619,,0.0002096,50.9,,,,,,,
