epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.24099,0.92779,1.55419,0.0,0.0,0.0,0.27716,0.0002997,26.7,0.1313,0.2126,0.5533,0.0891,0.3983,0.4421,0.1133
2,A,0.83962,0.82019,0.85906,0.0,0.0,0.0,,0.0002988,26.5,,,,,,,
3,A,0.55477,0.63699,0.47254,0.0,0.0,0.0,,0.0002973,26.6,,,,,,,
4,A,0.37085,0.41486,0.32684,0.0,0.0,0.0,,0.0002953,26.6,,,,,,,
5,A,0.2659,0.28613,0.24567,0.0,0.0,0.0,0.66262,0.0002927,26.5,0.4151,0.8373,0.8388,0.5448,0.694,0.8648,0.4436
6,A,0.21224,0.22592,0.19855,0.0,0.0,0.0,,0.0002895,26.6,,,,,,,
7,A,0.17353,0.18443,0.16262,0.0,0.0,0.0,,0.0002857,26.5,,,,,,,
8,A,0.1504,0.1586,0.1422,0.0,0.0,0.0,,0.0002814,26.6,,,,,,,
9,A,0.13599,0.14331,0.12866,0.0,0.0,0.0,,0.0002766,26.6,,,,,,,
10,A,0.1223,0.12943,0.11518,0.0,0.0,0.0,0.71808,0.0002714,26.8,0.5262,0.7982,0.8302,0.7452,0.7056,0.8941,0.5272
11,A,0.10931,0.11739,0.10124,0.0,0.0,0.0,,0.0002656,26.6,,,,,,,
12,A,0.10208,0.11024,0.09392,0.0,0.0,0.0,,0.0002593,26.7,,,,,,,
13,A,0.09489,0.1037,0.08608,0.0,0.0,0.0,,0.0002527,26.9,,,,,,,
14,A,0.09064,0.09844,0.08285,0.0,0.0,0.0,,0.0002456,27.5,,,,,,,
15,A,0.08589,0.09429,0.07749,0.0,0.0,0.0,0.6061,0.0002382,28.2,0.4142,0.5587,0.5874,0.5227,0.704,0.9,0.5557
16,A,0.08144,0.08909,0.07379,0.0,0.0,0.0,,0.0002304,26.8,,,,,,,
17,A,0.07763,0.08511,0.07015,0.0,0.0,0.0,,0.0002223,26.9,,,,,,,
18,A,0.07448,0.08214,0.06681,0.0,0.0,0.0,,0.0002139,26.9,,,,,,,
19,A,0.07023,0.07846,0.06201,0.0,0.0,0.0,,0.0002052,26.8,,,,,,,
20,A,0.06654,0.07478,0.05829,0.0,0.0,0.0,0.80684,0.0001964,26.8,0.655,0.8724,0.9046,0.7676,0.8353,0.923,0.6899
21,B,11.90701,0.3499,0.52066,1167.28965,-0.73692,0.669175,,0.0001873,28.9,,,,,,,
22,B,5.07051,0.24528,0.28919,500.70908,-0.753148,0.691054,,0.0001781,28.9,,,,,,,
23,B,3.68729,0.19202,0.20636,369.43242,-0.763975,0.703073,,0.0001688,28.9,,,,,,,
24,B,2.71037,0.16088,0.1622,276.2174,-0.786747,0.720109,,0.0001594,28.8,,,,,,,
25,B,2.00751,0.14488,0.14046,208.48108,-0.81131,0.742746,0.72918,0.00015,28.8,0.5965,0.7347,0.8585,0.5568,0.7775,0.9229,0.6573
26,B,1.55546,0.13243,0.12337,165.11849,-0.826657,0.758795,,0.0001406,28.9,,,,,,,
27,B,1.27178,0.11817,0.10564,138.74746,-0.838264,0.766132,,0.0001312,28.9,,,,,,,
28,B,1.08616,0.10945,0.09604,121.45219,-0.847769,0.771122,,0.0001219,28.9,,,,,,,
29,B,0.95982,0.10462,0.09053,109.62068,-0.855451,0.775067,,0.0001127,28.9,,,,,,,
30,B,21.56168,0.25479,0.35762,2146.85875,-0.801196,0.749962,0.63848,0.0001036,28.9,0.608,0.4217,0.864,0.4554,0.6953,0.9425,0.4824
31,B,4.11172,0.14919,0.14724,417.13719,-0.790883,0.750301,,9.48e-05,28.8,,,,,,,
32,B,2.79328,0.12898,0.11957,288.3597,-0.806754,0.755155,,8.61e-05,28.8,,,,,,,
33,B,2.23114,0.1166,0.10497,234.01287,-0.818981,0.758885,,7.77e-05,28.7,,,,,,,
34,B,1.89661,0.10805,0.09376,201.95363,-0.828671,0.761997,,6.96e-05,28.6,,,,,,,
35,B,1.6681,0.10134,0.08674,180.18299,-0.837936,0.764797,0.73991,6.18e-05,28.7,0.5967,0.7544,0.8549,0.6589,0.7339,0.9235,0.6572
36,B,1.51317,0.09795,0.08294,165.41879,-0.846655,0.767443,,5.44e-05,28.7,,,,,,,
37,B,1.39151,0.09324,0.0779,154.04059,-0.853677,0.769478,,4.73e-05,28.6,,,,,,,
38,B,1.29984,0.09265,0.0752,145.27793,-0.858923,0.770383,,4.07e-05,28.7,,,,,,,
39,B,1.2242,0.08778,0.07048,138.41199,-0.863915,0.771638,,3.44e-05,28.7,,,,,,,
40,B,17.98523,0.15407,0.16786,1805.44849,-0.84181,0.762723,0.79069,2.86e-05,28.4,0.6701,0.8435,0.9376,0.6832,0.7989,0.9135,0.688
41,B,7.34563,0.11691,0.10459,745.10585,-0.809875,0.755047,,2.34e-05,28.5,,,,,,,
42,B,5.54353,0.11057,0.09452,565.58107,-0.808067,0.756821,,1.86e-05,28.6,,,,,,,
43,B,4.76956,0.10338,0.08647,488.93295,-0.807914,0.757042,,1.43e-05,28.7,,,,,,,
44,B,4.33973,0.09962,0.08221,446.35086,-0.808305,0.757825,,1.05e-05,28.5,,,,,,,
45,B,4.07254,0.09586,0.07876,420.02963,-0.809099,0.75794,0.81035,7.3e-06,28.7,0.7053,0.8574,0.9352,0.7067,0.8264,0.9398,0.7016
46,B,3.90887,0.09717,0.07758,403.60794,-0.808227,0.758107,,4.7e-06,28.7,,,,,,,
47,B,3.80679,0.09353,0.07589,393.70852,-0.809183,0.75832,,2.7e-06,28.6,,,,,,,
48,B,3.74727,0.09274,0.07454,387.88461,-0.809654,0.758439,,1.2e-06,28.7,,,,,,,
49,B,3.71682,0.09223,0.07475,384.85717,-0.809847,0.75872,,3e-07,28.7,,,,,,,
50,B,1855645.77005,0.09074,0.09289,185564593.20755,-0.895963,0.784803,0.80527,0.0,28.5,0.699,0.8359,0.9358,0.7008,0.8321,0.9305,0.7026
