epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.23594,0.92911,1.54277,0.0,0.0,0.0,0.04819,0.0002997,37.1,0.0023,0.0627,0.0068,0.0001,0.0908,0.17,0.0047
2,A,0.83538,0.82669,0.84407,0.0,0.0,0.0,,0.0002988,35.2,,,,,,,
3,A,0.56412,0.66933,0.45891,0.0,0.0,0.0,,0.0002973,35.7,,,,,,,
4,A,0.36161,0.42672,0.2965,0.0,0.0,0.0,,0.0002953,35.2,,,,,,,
5,A,0.2596,0.2838,0.2354,0.0,0.0,0.0,0.71166,0.0002927,35.1,0.5443,0.797,0.8252,0.6268,0.7703,0.8623,0.5556
6,A,0.20927,0.22194,0.19661,0.0,0.0,0.0,,0.0002895,35.1,,,,,,,
7,A,0.17026,0.18137,0.15916,0.0,0.0,0.0,,0.0002857,35.4,,,,,,,
8,A,0.1479,0.15739,0.13842,0.0,0.0,0.0,,0.0002814,36.6,,,,,,,
9,A,0.13705,0.14556,0.12855,0.0,0.0,0.0,,0.0002766,34.8,,,,,,,
10,A,0.11911,0.12741,0.11082,0.0,0.0,0.0,0.75449,0.0002714,35.5,0.5917,0.8062,0.912,0.6933,0.7769,0.9027,0.5986
11,A,0.10873,0.11768,0.09979,0.0,0.0,0.0,,0.0002656,35.5,,,,,,,
12,A,0.1012,0.10889,0.0935,0.0,0.0,0.0,,0.0002593,36.0,,,,,,,
13,A,0.09477,0.10384,0.08569,0.0,0.0,0.0,,0.0002527,36.1,,,,,,,
14,A,0.08977,0.09718,0.08236,0.0,0.0,0.0,,0.0002456,36.2,,,,,,,
15,A,0.0826,0.091,0.0742,0.0,0.0,0.0,0.75936,0.0002382,36.2,0.6683,0.7644,0.8643,0.6883,0.7372,0.8944,0.6986
16,A,0.07693,0.08518,0.06869,0.0,0.0,0.0,,0.0002304,49.3,,,,,,,
17,A,0.07338,0.08168,0.06509,0.0,0.0,0.0,,0.0002223,35.9,,,,,,,
18,A,0.07324,0.08089,0.06558,0.0,0.0,0.0,,0.0002139,36.6,,,,,,,
19,A,0.07014,0.07778,0.06251,0.0,0.0,0.0,,0.0002052,37.1,,,,,,,
20,A,0.06665,0.07495,0.05835,0.0,0.0,0.0,0.81234,0.0001964,34.8,0.7116,0.8608,0.9258,0.787,0.8351,0.906,0.6601
21,B,-0.17074,0.08699,0.07438,8096072.74816,-0.80078,0.595868,,0.0001873,53.8,,,,,,,
22,B,-0.2004,0.08551,0.07178,156427.41495,-0.848999,0.581801,,0.0001781,51.2,,,,,,,
23,B,-0.21466,0.08368,0.06872,102629.85853,-0.867505,0.571582,,0.0001688,51.3,,,,,,,
24,B,-0.22804,0.07897,0.06523,88119.29172,-0.881594,0.562602,,0.0001594,51.2,,,,,,,
25,B,-0.23634,0.07824,0.06393,82173.74466,-0.891972,0.554249,0.81161,0.00015,51.0,0.7347,0.7918,0.9331,0.7983,0.8405,0.8907,0.6921
26,B,-0.2442,0.07611,0.06227,79464.03125,-0.900791,0.548031,,0.0001406,50.8,,,,,,,
27,B,-0.25161,0.07447,0.05893,77878.7168,-0.9077,0.54215,,0.0001312,51.0,,,,,,,
28,B,-0.25862,0.07183,0.05636,77653.65743,-0.913733,0.536604,,0.0001219,51.0,,,,,,,
29,B,-0.26304,0.07113,0.05576,78265.0475,-0.918789,0.531621,,0.0001127,50.8,,,,,,,
30,B,-0.26931,0.07008,0.05546,289888.49993,-0.930478,0.532632,0.82459,0.0001036,51.0,0.753,0.8373,0.9373,0.7943,0.8467,0.8867,0.7168
31,B,-0.27477,0.06834,0.05325,319625.40139,-0.9351,0.52795,,9.48e-05,51.4,,,,,,,
32,B,-0.27986,0.066,0.051,302697.66819,-0.939046,0.524638,,8.61e-05,51.4,,,,,,,
33,B,-0.28263,0.06522,0.05054,295137.30336,-0.941755,0.521449,,7.77e-05,51.4,,,,,,,
34,B,-0.28681,0.0631,0.04826,300019.69649,-0.944174,0.518364,,6.96e-05,52.2,,,,,,,
35,B,-0.29004,0.06196,0.04678,309248.98791,-0.946936,0.516209,0.81823,6.18e-05,51.8,0.7498,0.8265,0.9363,0.7753,0.8403,0.9134,0.686
36,B,-0.29169,0.06162,0.04634,318466.98069,-0.948177,0.513701,,5.44e-05,51.4,,,,,,,
37,B,-0.29445,0.06,0.04475,328469.95858,-0.949883,0.512476,,4.73e-05,51.2,,,,,,,
38,B,-0.29703,0.05842,0.04362,338015.75236,-0.951324,0.510449,,4.07e-05,50.8,,,,,,,
39,B,-0.29816,0.05821,0.0432,349492.83579,-0.952308,0.509167,,3.44e-05,50.6,,,,,,,
40,B,-0.29871,0.0572,0.0423,408070.66288,-0.952115,0.510415,0.81757,2.86e-05,50.8,0.7539,0.8443,0.9412,0.7738,0.8258,0.9019,0.6821
41,B,-0.3012,0.05604,0.04076,423214.22995,-0.953778,0.509144,,2.34e-05,50.6,,,,,,,
42,B,-0.30225,0.05565,0.0405,431595.21551,-0.954566,0.507849,,1.86e-05,50.7,,,,,,,
43,B,-0.30367,0.05504,0.03957,436693.40861,-0.955769,0.507626,,1.43e-05,50.9,,,,,,,
44,B,-0.30369,0.05545,0.03982,442922.11468,-0.95616,0.507036,,1.05e-05,50.8,,,,,,,
45,B,-0.30453,0.05498,0.03917,445056.63075,-0.956688,0.506939,0.81936,7.3e-06,50.8,0.751,0.8463,0.9416,0.7849,0.8262,0.9012,0.6843
46,B,-0.30592,0.05362,0.03836,448620.1023,-0.957083,0.506517,,4.7e-06,50.8,,,,,,,
47,B,-0.30614,0.0538,0.03817,451435.24764,-0.957436,0.50636,,2.7e-06,51.4,,,,,,,
48,B,-0.30681,0.05334,0.03757,453455.44738,-0.957557,0.506064,,1.2e-06,50.7,,,,,,,
49,B,-0.3065,0.05333,0.03813,454261.76828,-0.957602,0.50627,,3e-07,50.3,,,,,,,
50,B,-0.30623,0.05316,0.03751,499038.58564,-0.956993,0.50771,0.82004,0.0,50.4,0.7501,0.8457,0.9405,0.7859,0.8318,0.9035,0.6827
