epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.29528,0.94037,1.65019,0.0,0.0,0.0,0.18508,0.0002997,33.8,0.0302,0.1243,0.4315,0.0652,0.3495,0.2512,0.0437
2,A,1.02896,0.87601,1.18191,0.0,0.0,0.0,,0.0002988,33.7,,,,,,,
3,A,0.71808,0.73592,0.70024,0.0,0.0,0.0,,0.0002973,33.8,,,,,,,
4,A,0.48688,0.52725,0.4465,0.0,0.0,0.0,,0.0002953,33.8,,,,,,,
5,A,0.32876,0.35076,0.30677,0.0,0.0,0.0,0.64801,0.0002927,33.8,0.4263,0.7848,0.842,0.5424,0.6717,0.864,0.405
6,A,0.24245,0.25543,0.22947,0.0,0.0,0.0,,0.0002895,31.7,,,,,,,
7,A,0.20067,0.20923,0.19211,0.0,0.0,0.0,,0.0002857,33.9,,,,,,,
8,A,0.17116,0.17962,0.16269,0.0,0.0,0.0,,0.0002814,33.9,,,,,,,
9,A,0.15137,0.1591,0.14365,0.0,0.0,0.0,,0.0002766,33.8,,,,,,,
10,A,0.13456,0.14426,0.12487,0.0,0.0,0.0,0.72129,0.0002714,33.9,0.586,0.8606,0.8082,0.6638,0.6869,0.8914,0.5521
11,A,0.12382,0.13163,0.11601,0.0,0.0,0.0,,0.0002656,33.8,,,,,,,
12,A,0.11142,0.11938,0.10346,0.0,0.0,0.0,,0.0002593,34.4,,,,,,,
13,A,0.10378,0.11245,0.09511,0.0,0.0,0.0,,0.0002527,34.5,,,,,,,
14,A,0.09662,0.1053,0.08793,0.0,0.0,0.0,,0.0002456,34.9,,,,,,,
15,A,0.09157,0.09952,0.08362,0.0,0.0,0.0,0.79081,0.0002382,34.4,0.6832,0.8121,0.9228,0.7167,0.8552,0.8923,0.6534
16,A,0.08523,0.09439,0.07608,0.0,0.0,0.0,,0.0002304,34.7,,,,,,,
17,A,0.08366,0.09161,0.0757,0.0,0.0,0.0,,0.0002223,34.1,,,,,,,
18,A,0.07881,0.08783,0.06979,0.0,0.0,0.0,,0.0002139,34.3,,,,,,,
19,A,0.07291,0.08159,0.06424,0.0,0.0,0.0,,0.0002052,34.3,,,,,,,
20,A,0.06967,0.07778,0.06157,0.0,0.0,0.0,0.77253,0.0001964,34.5,0.6545,0.8286,0.8923,0.6822,0.8256,0.9183,0.6061
21,B,147.32038,0.75065,1.62936,14613.03714,-0.7424,0.665685,,0.0001873,51.2,,,,,,,
22,B,73.73905,0.79593,1.34494,7266.86162,-0.762176,0.716989,,0.0001781,51.0,,,,,,,
23,B,55.88195,0.7468,1.19148,5491.28146,-0.770747,0.731044,,0.0001688,50.8,,,,,,,
24,B,45.74438,0.70124,1.08008,4485.37239,-0.778445,0.741306,,0.0001594,50.8,,,,,,,
