epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.27774,0.93676,1.61872,0.0,0.0,0.0,0.15092,0.0002999,36.6,0.1207,0.0352,0.3802,0.0516,0.2397,0.1868,0.0423
2,A,0.85917,0.84139,0.87696,0.0,0.0,0.0,,0.0002997,36.5,,,,,,,
3,A,0.60915,0.71533,0.50296,0.0,0.0,0.0,,0.0002993,36.0,,,,,,,
4,A,0.38952,0.46839,0.31066,0.0,0.0,0.0,,0.0002988,34.9,,,,,,,
5,A,0.25949,0.2907,0.22828,0.0,0.0,0.0,0.68717,0.0002982,34.9,0.5199,0.8239,0.8067,0.6709,0.65,0.8254,0.5134
6,A,0.20267,0.21859,0.18674,0.0,0.0,0.0,,0.0002973,34.3,,,,,,,
7,A,0.16814,0.17981,0.15646,0.0,0.0,0.0,,0.0002964,34.3,,,,,,,
8,A,0.15061,0.16015,0.14107,0.0,0.0,0.0,,0.0002953,34.2,,,,,,,
9,A,0.13076,0.13985,0.12167,0.0,0.0,0.0,,0.000294,34.2,,,,,,,
10,A,0.11506,0.12505,0.10506,0.0,0.0,0.0,0.74725,0.0002927,34.2,0.5212,0.8612,0.8254,0.7599,0.7833,0.8381,0.6416
11,A,0.10888,0.11756,0.1002,0.0,0.0,0.0,,0.0002911,34.2,,,,,,,
12,A,0.10018,0.10872,0.09164,0.0,0.0,0.0,,0.0002895,34.2,,,,,,,
13,A,0.09298,0.10185,0.08411,0.0,0.0,0.0,,0.0002877,34.2,,,,,,,
14,A,0.08942,0.09774,0.0811,0.0,0.0,0.0,,0.0002857,34.2,,,,,,,
15,A,0.08549,0.09385,0.07714,0.0,0.0,0.0,0.77246,0.0002837,34.2,0.6315,0.8218,0.8971,0.7676,0.7655,0.8809,0.6429
16,A,0.08136,0.08972,0.07301,0.0,0.0,0.0,,0.0002814,34.2,,,,,,,
17,A,0.0781,0.08632,0.06989,0.0,0.0,0.0,,0.0002791,34.1,,,,,,,
18,A,0.08162,0.08944,0.07381,0.0,0.0,0.0,,0.0002766,34.2,,,,,,,
19,A,0.07514,0.08358,0.06671,0.0,0.0,0.0,,0.0002741,34.2,,,,,,,
20,A,0.06873,0.07726,0.0602,0.0,0.0,0.0,0.79355,0.0002714,34.1,0.6718,0.796,0.9053,0.7841,0.8236,0.8979,0.6762
21,B,11.33243,0.23188,0.28588,11266.16228,-0.717314,0.664204,,0.0002685,52.9,,,,,,,
22,B,6.00843,0.20099,0.21152,6000.21,-0.748905,0.705653,,0.0002656,50.1,,,,,,,
23,B,4.57091,0.1754,0.17483,4595.52788,-0.759196,0.719446,,0.0002625,50.0,,,,,,,
24,B,3.66751,0.1585,0.15739,3710.57108,-0.767784,0.731539,,0.0002593,50.1,,,,,,,
25,B,2.99431,0.15391,0.15304,3043.57302,-0.776589,0.74222,0.65426,0.0002561,50.1,0.4971,0.7818,0.7262,0.501,0.6571,0.8901,0.5267
26,B,2.4983,0.15144,0.14618,2553.8936,-0.784933,0.752221,,0.0002527,50.0,,,,,,,
27,B,2.11886,0.13969,0.13416,2188.70889,-0.794238,0.761365,,0.0002492,50.2,,,,,,,
28,B,1.84578,0.13681,0.13157,1920.12353,-0.801804,0.769451,,0.0002456,50.1,,,,,,,
29,B,1.59866,0.12869,0.11759,1686.4717,-0.810786,0.777782,,0.0002419,50.2,,,,,,,
30,B,2.5134,0.13991,0.14025,2599.06027,-0.857263,0.811556,0.74219,0.0002382,50.2,0.6087,0.8145,0.8946,0.6115,0.7922,0.924,0.5499
31,B,1.58324,0.12648,0.11832,1688.89492,-0.868868,0.825525,,0.0002343,50.1,,,,,,,
32,B,1.36851,0.12191,0.11215,1480.94145,-0.874253,0.83066,,0.0002304,50.2,,,,,,,
33,B,1.23512,0.12089,0.11163,1348.7863,-0.876886,0.834055,,0.0002264,50.3,,,,,,,
34,B,1.12126,0.11502,0.10312,1243.28039,-0.881325,0.838267,,0.0002223,50.2,,,,,,,
35,B,1.03861,0.11388,0.09923,1163.73391,-0.883949,0.841195,0.72559,0.0002181,50.2,0.6323,0.6736,0.8732,0.7228,0.7576,0.8855,0.5342
36,B,0.96054,0.10795,0.09551,1091.27125,-0.887077,0.844317,,0.0002139,50.1,,,,,,,
37,B,0.90626,0.10896,0.09932,1034.45723,-0.887721,0.846087,,0.0002096,50.2,,,,,,,
38,B,0.84755,0.10615,0.0934,980.64331,-0.89034,0.8492,,0.0002052,50.3,,,,,,,
39,B,0.79158,0.1033,0.09003,928.12328,-0.892223,0.85159,,0.0002008,50.2,,,,,,,
40,B,0.80661,0.10217,0.08878,948.69982,-0.906196,0.862148,0.77022,0.0001964,50.0,0.6566,0.826,0.8482,0.673,0.8495,0.899,0.6392
41,B,0.72877,0.09929,0.08598,874.1901,-0.909563,0.866927,,0.0001918,50.0,,,,,,,
42,B,0.67374,0.0963,0.08227,822.55334,-0.910891,0.869413,,0.0001873,50.1,,,,,,,
43,B,0.62893,0.09493,0.08151,779.1207,-0.912592,0.871532,,0.0001827,50.1,,,,,,,
44,B,0.59098,0.09326,0.07843,743.64777,-0.913497,0.87295,,0.0001781,50.0,,,,,,,
45,B,0.55236,0.08985,0.07511,709.12134,-0.916309,0.875645,0.80945,0.0001735,50.0,0.6967,0.8613,0.9217,0.7864,0.8433,0.8952,0.6617
46,B,0.52264,0.08914,0.07455,680.16831,-0.916966,0.876414,,0.0001688,50.0,,,,,,,
47,B,0.49596,0.08814,0.07334,654.96231,-0.918619,0.878268,,0.0001641,51.7,,,,,,,
48,B,0.46935,0.08569,0.06951,632.01384,-0.920379,0.87972,,0.0001594,50.6,,,,,,,
49,B,0.44911,0.08437,0.0695,612.79744,-0.921932,0.881365,,0.0001547,50.8,,,,,,,
50,B,0.51136,0.08497,0.07196,676.57151,-0.926164,0.877639,0.78384,0.00015,51.2,0.6381,0.863,0.8858,0.7196,0.8474,0.891,0.6419
51,B,0.46596,0.08272,0.06745,634.83249,-0.928696,0.881536,,0.0001453,51.4,,,,,,,
52,B,0.43692,0.08133,0.06665,607.10308,-0.930345,0.883987,,0.0001406,51.5,,,,,,,
53,B,0.41399,0.0813,0.06506,585.34256,-0.931531,0.884931,,0.0001359,51.1,,,,,,,
54,B,0.39275,0.08005,0.06403,565.40122,-0.93246,0.886154,,0.0001312,50.6,,,,,,,
55,B,0.3757,0.07828,0.06373,549.7382,-0.933766,0.887331,0.80036,0.0001265,50.6,0.6822,0.8561,0.908,0.7531,0.85,0.899,0.6543
56,B,0.36156,0.07872,0.06264,535.88539,-0.933781,0.887522,,0.0001219,50.7,,,,,,,
57,B,0.34696,0.07772,0.06246,522.21124,-0.934912,0.888448,,0.0001173,50.7,,,,,,,
