epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.25927,0.92996,1.58857,0.0,0.0,0.0,0.19708,0.0002999,37.2,0.0819,0.1772,0.326,0.0217,0.3019,0.4336,0.0371
2,A,0.91172,0.83499,0.98845,0.0,0.0,0.0,,0.0002997,37.0,,,,,,,
3,A,0.64187,0.68744,0.5963,0.0,0.0,0.0,,0.0002993,35.4,,,,,,,
4,A,0.40251,0.44713,0.3579,0.0,0.0,0.0,,0.0002988,34.1,,,,,,,
5,A,0.28585,0.30602,0.26568,0.0,0.0,0.0,0.68381,0.0002982,34.4,0.5013,0.7021,0.8706,0.5283,0.7554,0.8424,0.5866
6,A,0.23042,0.23982,0.22103,0.0,0.0,0.0,,0.0002973,34.5,,,,,,,
7,A,0.18378,0.19141,0.17615,0.0,0.0,0.0,,0.0002964,34.9,,,,,,,
8,A,0.16235,0.16957,0.15514,0.0,0.0,0.0,,0.0002953,35.0,,,,,,,
9,A,0.15019,0.15638,0.144,0.0,0.0,0.0,,0.000294,35.3,,,,,,,
10,A,0.12852,0.13652,0.12052,0.0,0.0,0.0,0.79893,0.0002927,35.4,0.6097,0.8447,0.8692,0.807,0.8324,0.9201,0.7093
11,A,0.11861,0.12729,0.10994,0.0,0.0,0.0,,0.0002911,34.6,,,,,,,
12,A,0.11365,0.12013,0.10716,0.0,0.0,0.0,,0.0002895,34.8,,,,,,,
13,A,0.10029,0.10875,0.09183,0.0,0.0,0.0,,0.0002877,34.4,,,,,,,
14,A,0.0962,0.10444,0.08796,0.0,0.0,0.0,,0.0002857,34.5,,,,,,,
15,A,0.09108,0.09924,0.08293,0.0,0.0,0.0,0.75523,0.0002837,34.6,0.5152,0.7977,0.8157,0.7465,0.7395,0.9416,0.7304
16,A,0.08648,0.09446,0.0785,0.0,0.0,0.0,,0.0002814,34.0,,,,,,,
17,A,0.08218,0.09055,0.0738,0.0,0.0,0.0,,0.0002791,34.0,,,,,,,
18,A,0.07936,0.08676,0.07196,0.0,0.0,0.0,,0.0002766,34.2,,,,,,,
19,A,0.07556,0.08389,0.06723,0.0,0.0,0.0,,0.0002741,34.1,,,,,,,
20,A,0.07096,0.07856,0.06337,0.0,0.0,0.0,0.81822,0.0002714,34.1,0.6953,0.8945,0.9137,0.7633,0.8376,0.9371,0.686
21,B,11.54786,0.25038,0.30809,11671.72463,-0.732352,0.658498,,0.0002685,54.5,,,,,,,
22,B,6.0544,0.21062,0.23263,6248.21035,-0.769969,0.709062,,0.0002656,51.1,,,,,,,
23,B,4.44317,0.18591,0.20337,4670.0222,-0.785003,0.727021,,0.0002625,51.0,,,,,,,
24,B,3.42875,0.17168,0.17622,3681.91903,-0.797477,0.74072,,0.0002593,51.3,,,,,,,
25,B,2.7294,0.16284,0.16399,2998.60988,-0.808617,0.751976,0.76854,0.0002561,51.0,0.6443,0.8218,0.8913,0.6891,0.8432,0.9126,0.5775
26,B,2.23766,0.15553,0.15369,2521.09594,-0.818574,0.761058,,0.0002527,51.0,,,,,,,
27,B,1.85113,0.14553,0.14079,2151.98016,-0.829249,0.770478,,0.0002492,50.9,,,,,,,
28,B,1.57489,0.14031,0.13395,1887.70829,-0.838354,0.776811,,0.0002456,51.0,,,,,,,
29,B,1.37652,0.1404,0.13332,1693.62588,-0.845229,0.782517,,0.0002419,51.3,,,,,,,
30,B,1.76136,0.15601,0.15797,2077.86216,-0.882401,0.817812,0.7428,0.0002382,51.5,0.6441,0.8026,0.8749,0.6094,0.8313,0.8171,0.6201
31,B,1.21701,0.13823,0.13249,1558.98164,-0.892645,0.830615,,0.0002343,51.0,,,,,,,
32,B,0.98741,0.13057,0.11796,1345.37672,-0.900554,0.836632,,0.0002304,51.2,,,,,,,
33,B,0.84049,0.12474,0.11218,1207.73792,-0.905747,0.840074,,0.0002264,51.2,,,,,,,
34,B,0.73147,0.12006,0.10625,1107.43566,-0.910308,0.842376,,0.0002223,51.1,,,,,,,
35,B,0.64455,0.11677,0.10382,1025.94076,-0.913894,0.844418,0.78979,0.0002181,51.3,0.6597,0.8273,0.8787,0.7628,0.8484,0.903,0.6486
36,B,0.57437,0.11328,0.10183,960.16892,-0.916286,0.845864,,0.0002139,51.2,,,,,,,
37,B,0.51442,0.10949,0.09796,906.3972,-0.919395,0.847382,,0.0002096,51.1,,,,,,,
