epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.28869,0.93909,1.63828,0.0,0.0,0.0,0.22044,0.0002999,37.2,0.0513,0.2163,0.4763,0.1852,0.3572,0.1665,0.0903
2,A,0.95277,0.86696,1.03858,0.0,0.0,0.0,,0.0002997,37.3,,,,,,,
3,A,0.6515,0.7379,0.5651,0.0,0.0,0.0,,0.0002993,37.0,,,,,,,
4,A,0.41702,0.49596,0.33808,0.0,0.0,0.0,,0.0002988,36.7,,,,,,,
5,A,0.26992,0.30013,0.23971,0.0,0.0,0.0,0.51264,0.0002982,36.9,0.362,0.3288,0.4932,0.5409,0.5984,0.8215,0.4437
6,A,0.21721,0.23122,0.20319,0.0,0.0,0.0,,0.0002973,37.9,,,,,,,
7,A,0.17631,0.18676,0.16586,0.0,0.0,0.0,,0.0002964,37.8,,,,,,,
8,A,0.1575,0.16506,0.14995,0.0,0.0,0.0,,0.0002953,35.9,,,,,,,
9,A,0.13164,0.14087,0.12242,0.0,0.0,0.0,,0.000294,35.8,,,,,,,
10,A,0.123,0.13083,0.11516,0.0,0.0,0.0,0.70277,0.0002927,36.8,0.5341,0.6937,0.7986,0.5787,0.7736,0.8625,0.6781
11,A,0.11483,0.12315,0.10652,0.0,0.0,0.0,,0.0002911,35.4,,,,,,,
12,A,0.10657,0.1136,0.09955,0.0,0.0,0.0,,0.0002895,35.4,,,,,,,
13,A,0.0969,0.10513,0.08867,0.0,0.0,0.0,,0.0002877,35.5,,,,,,,
14,A,0.09311,0.10176,0.08446,0.0,0.0,0.0,,0.0002857,35.3,,,,,,,
15,A,0.08781,0.09587,0.07976,0.0,0.0,0.0,0.8155,0.0002837,35.4,0.7297,0.8511,0.9222,0.6969,0.8489,0.939,0.7207
16,A,0.08197,0.09037,0.07357,0.0,0.0,0.0,,0.0002814,35.2,,,,,,,
17,A,0.07986,0.08747,0.07225,0.0,0.0,0.0,,0.0002791,35.2,,,,,,,
