epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.30782,0.93958,1.67605,0.0,0.0,0.0,0.14381,0.0002999,37.1,0.1742,0.0287,0.0938,0.0193,0.4019,0.2464,0.0423
2,A,0.96339,0.86107,1.06572,0.0,0.0,0.0,,0.0002997,36.8,,,,,,,
3,A,0.66735,0.72709,0.60761,0.0,0.0,0.0,,0.0002993,36.2,,,,,,,
4,A,0.43014,0.49405,0.36622,0.0,0.0,0.0,,0.0002988,35.4,,,,,,,
5,A,0.3038,0.32482,0.28278,0.0,0.0,0.0,0.75924,0.0002982,35.5,0.6461,0.8159,0.908,0.6703,0.7904,0.8863,0.5977
6,A,0.22816,0.24107,0.21525,0.0,0.0,0.0,,0.0002973,35.5,,,,,,,
7,A,0.19388,0.20156,0.1862,0.0,0.0,0.0,,0.0002964,35.5,,,,,,,
8,A,0.16625,0.17328,0.15923,0.0,0.0,0.0,,0.0002953,35.6,,,,,,,
9,A,0.15216,0.15846,0.14586,0.0,0.0,0.0,,0.000294,35.8,,,,,,,
10,A,0.13203,0.13954,0.12452,0.0,0.0,0.0,0.76751,0.0002927,35.5,0.594,0.8406,0.9129,0.7099,0.815,0.8908,0.6095
11,A,0.12003,0.12685,0.11321,0.0,0.0,0.0,,0.0002911,35.5,,,,,,,
12,A,0.1093,0.11742,0.10119,0.0,0.0,0.0,,0.0002895,35.6,,,,,,,
13,A,0.10266,0.1113,0.09402,0.0,0.0,0.0,,0.0002877,35.4,,,,,,,
14,A,0.09443,0.10318,0.08569,0.0,0.0,0.0,,0.0002857,35.4,,,,,,,
15,A,0.09053,0.09739,0.08367,0.0,0.0,0.0,0.72906,0.0002837,35.4,0.6598,0.6508,0.8738,0.6365,0.778,0.8715,0.6331
16,A,0.08612,0.09443,0.07781,0.0,0.0,0.0,,0.0002814,35.5,,,,,,,
17,A,0.08435,0.09271,0.07599,0.0,0.0,0.0,,0.0002791,35.5,,,,,,,
18,A,0.07898,0.08684,0.07112,0.0,0.0,0.0,,0.0002766,35.5,,,,,,,
19,A,0.0765,0.08311,0.06988,0.0,0.0,0.0,,0.0002741,35.4,,,,,,,
20,A,0.07552,0.08314,0.06789,0.0,0.0,0.0,0.82048,0.0002714,35.5,0.6835,0.8696,0.9434,0.7673,0.8409,0.9235,0.7151
21,B,2.97425,0.1938,0.22417,2883.22762,-0.435123,0.398415,,0.0002685,52.0,,,,,,,
22,B,1.6665,0.14705,0.14032,1644.33784,-0.448444,0.410808,,0.0002656,51.6,,,,,,,
