epoch,train_loss,train_dice_loss,train_ce_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,1.16851,0.9494,1.38763,0.16126,0.0002999,43.1,0.0963,0.124,0.2526,0.1176,0.3684,0.1402,0.0296
2,0.94979,0.91387,0.98571,,0.0002997,42.1,,,,,,,
3,0.82711,0.87651,0.77771,,0.0002993,42.1,,,,,,,
4,0.70555,0.80582,0.60529,,0.0002988,42.1,,,,,,,
5,0.57878,0.6769,0.48065,0.5421,0.0002982,42.2,0.6115,0.4492,0.8209,0.4914,0.6668,0.3927,0.3623
6,0.47615,0.53791,0.41438,,0.0002973,42.3,,,,,,,
7,0.39769,0.43454,0.36085,,0.0002964,42.7,,,,,,,
8,0.33899,0.36504,0.31294,,0.0002953,43.2,,,,,,,
9,0.29905,0.32233,0.27577,,0.000294,43.3,,,,,,,
10,0.27049,0.29161,0.24936,0.66169,0.0002927,43.3,0.7572,0.4918,0.8909,0.6841,0.7887,0.5069,0.5124
11,0.25394,0.27621,0.23167,,0.0002911,43.2,,,,,,,
12,0.23583,0.25582,0.21583,,0.0002895,43.6,,,,,,,
13,0.21519,0.23902,0.19136,,0.0002877,43.5,,,,,,,
14,0.20842,0.2316,0.18523,,0.0002857,43.4,,,,,,,
15,0.19693,0.21963,0.17423,0.78473,0.0002837,42.3,0.8358,0.8018,0.9341,0.7231,0.8671,0.7043,0.6269
16,0.18494,0.2081,0.16177,,0.0002814,42.0,,,,,,,
17,0.17669,0.1997,0.15368,,0.0002791,41.7,,,,,,,
18,0.16905,0.19222,0.14588,,0.0002766,41.6,,,,,,,
19,0.16341,0.18664,0.14019,,0.0002741,41.6,,,,,,,
20,0.15126,0.17395,0.12858,0.81664,0.0002714,41.5,0.8444,0.8134,0.9368,0.8031,0.8895,0.7372,0.6921
21,0.14977,0.17191,0.12763,,0.0002685,41.4,,,,,,,
22,0.14878,0.17158,0.12597,,0.0002656,41.6,,,,,,,
23,0.14119,0.16325,0.11912,,0.0002625,41.6,,,,,,,
24,0.14141,0.16289,0.11992,,0.0002593,41.5,,,,,,,
25,0.13605,0.15546,0.11664,0.77341,0.0002561,41.6,0.8152,0.7825,0.9178,0.71,0.803,0.7062,0.6792
26,0.13722,0.15799,0.11645,,0.0002527,41.5,,,,,,,
27,0.13054,0.15079,0.11029,,0.0002492,41.6,,,,,,,
28,0.12532,0.14563,0.10502,,0.0002456,41.6,,,,,,,
29,0.124,0.1441,0.10389,,0.0002419,41.6,,,,,,,
30,0.12278,0.1437,0.10185,0.78366,0.0002382,41.6,0.8453,0.7871,0.9275,0.7099,0.8487,0.6645,0.7026
31,0.12097,0.14041,0.10153,,0.0002343,41.5,,,,,,,
32,0.11516,0.13592,0.09441,,0.0002304,41.6,,,,,,,
33,0.11556,0.13419,0.09693,,0.0002264,41.6,,,,,,,
34,0.11089,0.12987,0.09191,,0.0002223,41.6,,,,,,,
35,0.1096,0.12836,0.09084,0.79527,0.0002181,41.6,0.8416,0.83,0.9387,0.7872,0.8788,0.6175,0.6731
36,0.10883,0.12861,0.08906,,0.0002139,41.4,,,,,,,
37,0.10733,0.12557,0.08909,,0.0002096,41.8,,,,,,,
38,0.1055,0.12387,0.08713,,0.0002052,41.6,,,,,,,
39,0.10365,0.12303,0.08427,,0.0002008,41.7,,,,,,,
