level,class_idx,class_name,proto_idx,compactness,level_threshold
3,1,LV,0,0.8498968959839877,0.15
3,1,LV,1,0.5062519105012752,0.15
3,2,RV,0,0.7212510857700316,0.15
3,2,RV,1,0.8423191417347301,0.15
3,3,LA,0,0.8190353645766077,0.15
3,3,LA,1,0.7975753595021146,0.15
3,4,RA,0,0.8605591639999516,0.15
3,4,RA,1,0.8088098636343459,0.15
3,5,Myo,0,0.8332913926810273,0.15
3,5,Myo,1,0.8598996942693536,0.15
3,6,Aorta,0,0.8454910152214618,0.15
3,6,Aorta,1,0.6245420156431593,0.15
3,7,PA,0,0.6523057921858858,0.15
3,7,PA,1,0.5747157325429365,0.15
4,1,LV,0,0.8217141647969396,0.25
4,1,LV,1,0.8232180067330352,0.25
4,2,RV,0,0.6880129979661673,0.25
4,2,RV,1,0.8297911084387913,0.25
4,3,LA,0,0.7628868039974497,0.25
4,3,LA,1,0.6896662436240961,0.25
4,4,RA,0,0.809942986354355,0.25
4,4,RA,1,0.7980621590102015,0.25
4,5,Myo,0,0.8221095692027699,0.25
4,5,Myo,1,0.7775838867691923,0.25
4,6,Aorta,0,0.842074118369867,0.25
4,6,Aorta,1,0.6587046788743705,0.25
4,7,PA,0,0.5635751141004326,0.25
4,7,PA,1,0.438710267878761,0.25
