level,class_idx,class_name,proto_idx,compactness,level_threshold
3,1,LV,0,0.750966316412303,0.15
3,1,LV,1,0.7624976102970848,0.15
3,2,RV,0,0.840144449029087,0.15
3,2,RV,1,0.8470135523268014,0.15
3,3,LA,0,0.8002606226393014,0.15
3,3,LA,1,0.7631576790297327,0.15
3,4,RA,0,0.7834772472539224,0.15
3,4,RA,1,0.7537336743567601,0.15
3,5,Myo,0,0.8052847996230953,0.15
3,5,Myo,1,0.8019982960598528,0.15
3,6,Aorta,0,0.7896724417189921,0.15
3,6,Aorta,1,0.8276633901044357,0.15
3,7,PA,0,0.764710765239621,0.15
3,7,PA,1,0.7828664543214908,0.15
4,1,LV,0,0.7745938261678397,0.25
4,1,LV,1,0.7962909099484278,0.25
4,2,RV,0,0.792713575126711,0.25
4,2,RV,1,0.7844336328427653,0.25
4,3,LA,0,0.8167444969996933,0.25
4,3,LA,1,0.7998871606243544,0.25
4,4,RA,0,0.781838882067972,0.25
4,4,RA,1,0.7933662036233697,0.25
4,5,Myo,0,0.7917475739786447,0.25
4,5,Myo,1,0.812918198010153,0.25
4,6,Aorta,0,0.7981161637739702,0.25
4,6,Aorta,1,0.7972298614249742,0.25
4,7,PA,0,0.7569415194929139,0.25
4,7,PA,1,0.7786466425115411,0.25
