level,class_idx,class_name,proto_idx,purity,n_samples
3,1,LV,0,0.0,50
3,1,LV,1,0.02,50
3,2,RV,0,0.0,50
3,2,RV,1,0.0,50
3,3,LA,0,0.0,50
3,3,LA,1,0.0,50
3,4,RA,0,0.0,50
3,4,RA,1,0.0,50
3,5,Myo,0,0.0,50
3,5,Myo,1,0.0,50
3,6,Aorta,0,0.0,50
3,6,Aorta,1,0.0,50
3,7,PA,0,0.0,50
3,7,PA,1,0.0,50
4,1,LV,0,0.0,50
4,1,LV,1,0.0,50
4,2,RV,0,0.0,50
4,2,RV,1,0.0,50
4,3,LA,0,0.0,50
4,3,LA,1,0.0,50
4,4,RA,0,0.0,50
4,4,RA,1,0.58,50
4,5,Myo,0,0.16,50
4,5,Myo,1,0.24,50
4,6,Aorta,0,0.0,50
4,6,Aorta,1,0.0,50
4,7,PA,0,0.0,50
4,7,PA,1,0.0,50
