level,class_idx,class_name,proto_idx,purity,n_samples
3,1,LV,0,0.56,50
3,1,LV,1,0.74,50
3,2,RV,0,0.24,50
3,2,RV,1,0.08,50
3,3,LA,0,0.74,50
3,3,LA,1,0.28,50
3,4,RA,0,0.48,50
3,4,RA,1,0.22,50
3,5,Myo,0,0.42,50
3,5,Myo,1,0.74,50
3,6,Aorta,0,0.16,50
3,6,Aorta,1,0.2,50
3,7,PA,0,0.22,50
3,7,PA,1,0.26,50
4,1,LV,0,0.96,50
4,1,LV,1,0.42,50
4,2,RV,0,0.48,50
4,2,RV,1,0.68,50
4,3,LA,0,0.58,50
4,3,LA,1,0.78,50
4,4,RA,0,0.78,50
4,4,RA,1,1.0,50
4,5,Myo,0,0.86,50
4,5,Myo,1,0.96,50
4,6,Aorta,0,0.84,50
4,6,Aorta,1,0.46,50
4,7,PA,0,0.82,50
4,7,PA,1,0.8,50
