level,class_idx,class_name,proto_idx,purity,n_samples
3,1,LV,0,0.84,50
3,1,LV,1,0.16,50
3,2,RV,0,1.0,50
3,2,RV,1,0.94,50
3,3,LA,0,0.64,50
3,3,LA,1,1.0,50
3,4,RA,0,0.46,50
3,4,RA,1,0.14,50
3,5,Myo,0,0.7,50
3,5,Myo,1,0.54,50
3,6,Aorta,0,0.72,50
3,6,Aorta,1,0.9,50
3,7,PA,0,0.48,50
3,7,PA,1,0.74,50
4,1,LV,0,0.94,50
4,1,LV,1,0.68,50
4,2,RV,0,1.0,50
4,2,RV,1,0.92,50
4,3,LA,0,0.44,50
4,3,LA,1,1.0,50
4,4,RA,0,0.76,50
4,4,RA,1,0.54,50
4,5,Myo,0,1.0,50
4,5,Myo,1,0.46,50
4,6,Aorta,0,0.9,50
4,6,Aorta,1,1.0,50
4,7,PA,0,0.62,50
4,7,PA,1,1.0,50
