level,class_idx,class_name,proto_idx,compactness,level_threshold
1,1,LV,0,0.26618787276843364,0.05
1,1,LV,1,0.2900239613430559,0.05
1,1,LV,2,0.4185540695820958,0.05
1,1,LV,3,0.41761975248983085,0.05
1,2,RV,0,0.4269389002776343,0.05
1,2,RV,1,0.2909148350234859,0.05
1,2,RV,2,0.270857818855727,0.05
1,2,RV,3,0.32810800725763495,0.05
1,3,LA,0,0.2423564501045164,0.05
1,3,LA,1,0.2847628948117091,0.05
1,3,LA,2,0.43142198925175945,0.05
1,3,LA,3,0.42310222909470235,0.05
1,4,RA,0,0.2549822783667194,0.05
1,4,RA,1,0.28287748856977984,0.05
1,4,RA,2,0.4182003746347979,0.05
1,4,RA,3,0.28224982900067797,0.05
1,5,Myo,0,0.31010506369850854,0.05
1,5,Myo,1,0.29853278546293904,0.05
1,5,Myo,2,0.23752042281726174,0.05
1,5,Myo,3,0.424428734897582,0.05
1,6,Aorta,0,0.283614765514027,0.05
1,6,Aorta,1,0.6282681236582354,0.05
1,6,Aorta,2,0.4722996546217233,0.05
1,6,Aorta,3,0.2735080561362022,0.05
1,7,PA,0,0.28903132036697765,0.05
1,7,PA,1,0.2809893080025665,0.05
1,7,PA,2,0.431016654022469,0.05
1,7,PA,3,0.26591923611223206,0.05
2,1,LV,0,0.3465645845271339,0.08
2,1,LV,1,0.4829347468604726,0.08
2,1,LV,2,0.3321617378676233,0.08
2,2,RV,0,0.48110920929711715,0.08
2,2,RV,1,0.33112001024987087,0.08
2,2,RV,2,0.3565412474072669,0.08
2,3,LA,0,0.34944783360504905,0.08
2,3,LA,1,0.3309361481469525,0.08
2,3,LA,2,0.4862841771653861,0.08
2,4,RA,0,0.476872152533413,0.08
2,4,RA,1,0.3342860828746449,0.08
2,4,RA,2,0.3541892500948315,0.08
2,5,Myo,0,0.33302849383393596,0.08
2,5,Myo,1,0.34790064283638944,0.08
2,5,Myo,2,0.4741549531290354,0.08
2,6,Aorta,0,0.6729046845239056,0.08
2,6,Aorta,1,0.3324246682411383,0.08
2,6,Aorta,2,0.39932430677177494,0.08
2,7,PA,0,0.33369054873127585,0.08
2,7,PA,1,0.7347957201240477,0.08
2,7,PA,2,0.4778865467418324,0.08
3,1,LV,0,0.5926375270875033,0.15
3,1,LV,1,0.4913613185409672,0.15
3,2,RV,0,0.5926925722232534,0.15
3,2,RV,1,0.4862902617651569,0.15
3,3,LA,0,0.49883292332168455,0.15
3,3,LA,1,0.5951847044889592,0.15
3,4,RA,0,0.5895030439392595,0.15
3,4,RA,1,0.4954329246331838,0.15
3,5,Myo,0,0.5941222640108471,0.15
3,5,Myo,1,0.4946909187253842,0.15
3,6,Aorta,0,0.5939433200300233,0.15
3,6,Aorta,1,0.4790836996283413,0.15
3,7,PA,0,0.4870272549715909,0.15
3,7,PA,1,0.5911951301511654,0.15
4,1,LV,0,0.5372782620516691,0.25
4,1,LV,1,0.6175189372921778,0.25
4,2,RV,0,0.6186280999301879,0.25
4,2,RV,1,0.5225684426047585,0.25
4,3,LA,0,0.5273869727268692,0.25
4,3,LA,1,0.6243505556721333,0.25
4,4,RA,0,0.621683420228564,0.25
4,4,RA,1,0.5275289677391367,0.25
4,5,Myo,0,0.6156340354730275,0.25
4,5,Myo,1,0.5441643265653248,0.25
4,6,Aorta,0,0.6238004511052911,0.25
4,6,Aorta,1,0.5026054067059982,0.25
4,7,PA,0,0.5220627587688856,0.25
4,7,PA,1,0.618964077027376,0.25
