epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.3294,0.94554,1.71326,0.0,0.0,0.0,0.22769,0.0002999,27.8,0.0943,0.006,0.2168,0.061,0.4578,0.6521,0.1058
2,A,0.96603,0.86937,1.06268,0.0,0.0,0.0,,0.0002997,27.4,,,,,,,
3,A,0.69229,0.7655,0.61907,0.0,0.0,0.0,,0.0002993,27.4,,,,,,,
4,A,0.46841,0.55269,0.38413,0.0,0.0,0.0,,0.0002988,28.6,,,,,,,
5,A,0.30019,0.33679,0.26359,0.0,0.0,0.0,0.65719,0.0002982,28.4,0.5109,0.8303,0.7326,0.4492,0.6841,0.8312,0.562
6,A,0.22076,0.23988,0.20165,0.0,0.0,0.0,,0.0002973,30.2,,,,,,,
7,A,0.18861,0.20078,0.17645,0.0,0.0,0.0,,0.0002964,28.3,,,,,,,
8,A,0.16379,0.17181,0.15576,0.0,0.0,0.0,,0.0002953,27.7,,,,,,,
9,A,0.14383,0.15369,0.13397,0.0,0.0,0.0,,0.000294,27.5,,,,,,,
10,A,0.12446,0.13314,0.11579,0.0,0.0,0.0,0.75374,0.0002927,27.5,0.6084,0.8232,0.8344,0.6583,0.7735,0.9347,0.6438
11,A,0.11797,0.12578,0.11016,0.0,0.0,0.0,,0.0002911,27.6,,,,,,,
12,A,0.10719,0.11493,0.09945,0.0,0.0,0.0,,0.0002895,27.5,,,,,,,
13,A,0.10249,0.11009,0.09489,0.0,0.0,0.0,,0.0002877,27.5,,,,,,,
14,A,0.09781,0.10597,0.08964,0.0,0.0,0.0,,0.0002857,27.5,,,,,,,
15,A,0.08933,0.09796,0.08071,0.0,0.0,0.0,0.80907,0.0002837,27.5,0.7245,0.8704,0.9335,0.7497,0.8301,0.9156,0.6397
16,A,0.08521,0.0933,0.07712,0.0,0.0,0.0,,0.0002814,27.5,,,,,,,
17,A,0.08355,0.09128,0.07581,0.0,0.0,0.0,,0.0002791,27.5,,,,,,,
18,A,0.07857,0.08652,0.07062,0.0,0.0,0.0,,0.0002766,27.6,,,,,,,
19,A,0.07733,0.0853,0.06935,0.0,0.0,0.0,,0.0002741,27.6,,,,,,,
20,A,0.07497,0.0824,0.06753,0.0,0.0,0.0,0.79579,0.0002714,27.6,0.6662,0.8411,0.9059,0.788,0.8168,0.9281,0.6245
21,B,1.76003,0.19127,0.22438,1758.13107,-0.735406,0.647081,,0.0002685,31.7,,,,,,,
22,B,0.71628,0.15637,0.16481,777.13333,-0.790074,0.694358,,0.0002656,31.5,,,,,,,
23,B,0.49115,0.14403,0.14723,573.16103,-0.810602,0.710656,,0.0002625,31.5,,,,,,,
24,B,0.33338,0.12617,0.11753,444.19282,-0.827525,0.724386,,0.0002593,31.6,,,,,,,
25,B,0.23208,0.11895,0.10925,354.72318,-0.840544,0.734109,0.7738,0.0002561,31.6,0.6946,0.8605,0.8937,0.7152,0.7282,0.941,0.5833
26,B,0.16748,0.11418,0.10466,297.48676,-0.84931,0.740887,,0.0002527,31.6,,,,,,,
27,B,0.11415,0.10686,0.09473,255.31374,-0.857447,0.747073,,0.0002492,31.5,,,,,,,
28,B,0.07716,0.10107,0.09043,225.06739,-0.862917,0.751188,,0.0002456,31.6,,,,,,,
29,B,0.05075,0.10048,0.08924,201.16943,-0.867999,0.754875,,0.0002419,31.5,,,,,,,
30,B,0.03892,0.09899,0.08554,205.17117,-0.917626,0.801167,0.81756,0.0002382,31.2,0.6836,0.893,0.9294,0.7618,0.841,0.9085,0.7057
31,B,-0.00254,0.09421,0.08168,170.31023,-0.921662,0.800162,,0.0002343,31.2,,,,,,,
32,B,-0.02531,0.09285,0.07834,151.47388,-0.924485,0.79946,,0.0002304,31.3,,,,,,,
33,B,-0.04447,0.08844,0.07398,138.2541,-0.927107,0.798467,,0.0002264,31.5,,,,,,,
34,B,-0.05854,0.08562,0.07161,127.91629,-0.929083,0.79789,,0.0002223,31.4,,,,,,,
35,B,-0.06633,0.0859,0.07172,120.92949,-0.929615,0.794923,0.82374,0.0002181,31.5,0.7044,0.896,0.9481,0.7854,0.8213,0.9265,0.6845
36,B,-0.07378,0.08538,0.07132,114.96606,-0.930857,0.793325,,0.0002139,31.3,,,,,,,
