epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.30844,0.94135,1.67553,0.0,0.0,0.0,0.10507,0.0002999,27.1,0.0316,0.0116,0.2461,0.0945,0.2405,0.0037,0.1075
2,A,0.94902,0.85673,1.04132,0.0,0.0,0.0,,0.0002997,27.0,,,,,,,
3,A,0.67387,0.71048,0.63725,0.0,0.0,0.0,,0.0002993,27.0,,,,,,,
4,A,0.43237,0.47575,0.389,0.0,0.0,0.0,,0.0002988,26.8,,,,,,,
5,A,0.30101,0.31855,0.28347,0.0,0.0,0.0,0.55994,0.0002982,26.6,0.4619,0.7124,0.8142,0.372,0.4653,0.7227,0.3711
6,A,0.2256,0.23686,0.21433,0.0,0.0,0.0,,0.0002973,26.9,,,,,,,
7,A,0.19123,0.19793,0.18454,0.0,0.0,0.0,,0.0002964,27.7,,,,,,,
8,A,0.16899,0.1741,0.16388,0.0,0.0,0.0,,0.0002953,27.0,,,,,,,
9,A,0.148,0.15547,0.14053,0.0,0.0,0.0,,0.000294,26.6,,,,,,,
10,A,0.13369,0.13999,0.12738,0.0,0.0,0.0,0.77269,0.0002927,26.9,0.6073,0.8553,0.8974,0.6842,0.7598,0.9158,0.689
11,A,0.12087,0.1283,0.11345,0.0,0.0,0.0,,0.0002911,27.0,,,,,,,
12,A,0.10952,0.11758,0.10147,0.0,0.0,0.0,,0.0002895,27.0,,,,,,,
13,A,0.10227,0.11082,0.09371,0.0,0.0,0.0,,0.0002877,27.0,,,,,,,
14,A,0.09595,0.10395,0.08796,0.0,0.0,0.0,,0.0002857,27.5,,,,,,,
15,A,0.0887,0.09621,0.08119,0.0,0.0,0.0,0.81028,0.0002837,27.6,0.7109,0.812,0.9145,0.7994,0.8439,0.8978,0.6933
16,A,0.08866,0.09566,0.08165,0.0,0.0,0.0,,0.0002814,27.5,,,,,,,
17,A,0.08342,0.09153,0.07531,0.0,0.0,0.0,,0.0002791,27.3,,,,,,,
18,A,0.07766,0.08556,0.06977,0.0,0.0,0.0,,0.0002766,27.4,,,,,,,
19,A,0.07566,0.08347,0.06784,0.0,0.0,0.0,,0.0002741,27.7,,,,,,,
20,A,0.07166,0.07976,0.06355,0.0,0.0,0.0,0.79335,0.0002714,27.6,0.7001,0.8754,0.9269,0.6902,0.7904,0.9121,0.6584
21,B,4455.29787,0.42453,1.25344,4454609.42845,-0.610133,0.617128,,0.0002685,29.6,,,,,,,
22,B,1.48525,0.24559,0.29081,1402.27018,-0.716927,0.692969,,0.0002656,28.9,,,,,,,
23,B,0.71296,0.1823,0.19213,735.40528,-0.774567,0.710472,,0.0002625,29.6,,,,,,,
24,B,0.4105,0.15104,0.15132,488.46655,-0.819965,0.723351,,0.0002593,29.6,,,,,,,
25,B,0.24811,0.13126,0.12364,363.72812,-0.851611,0.730925,0.62385,0.0002561,29.4,0.5898,0.553,0.8746,0.4047,0.6029,0.8925,0.4495
26,B,0.15604,0.12156,0.11258,290.93682,-0.871621,0.735371,,0.0002527,29.2,,,,,,,
27,B,0.09723,0.11498,0.1048,245.72474,-0.886042,0.738535,,0.0002492,29.5,,,,,,,
28,B,0.05254,0.10829,0.0963,213.84841,-0.89764,0.740864,,0.0002456,29.5,,,,,,,
29,B,0.01119,0.0996,0.08496,187.25129,-0.90815,0.742928,,0.0002419,29.2,,,,,,,
30,B,0.25477,0.10811,0.09746,412.96405,-0.901581,0.759253,0.78045,0.0002382,29.7,0.6628,0.8463,0.9109,0.706,0.7368,0.9102,0.6903
31,B,0.03623,0.09691,0.0828,217.56848,-0.92577,0.766771,,0.0002343,29.6,,,,,,,
32,B,-0.01622,0.09214,0.07726,173.28532,-0.932907,0.768975,,0.0002304,29.7,,,,,,,
33,B,-0.04397,0.08969,0.07573,149.42205,-0.937198,0.769995,,0.0002264,29.8,,,,,,,
34,B,-0.06586,0.08637,0.07159,133.17952,-0.941206,0.770323,,0.0002223,30.0,,,,,,,
35,B,-0.08004,0.08486,0.07031,121.53258,-0.943181,0.76973,0.79779,0.0002181,30.3,0.6826,0.8682,0.9287,0.6687,0.8301,0.8989,0.7074
36,B,-0.09447,0.08192,0.06695,112.19893,-0.946514,0.768619,,0.0002139,30.1,,,,,,,
37,B,-0.10295,0.08164,0.06711,105.0666,-0.947867,0.766186,,0.0002096,30.3,,,,,,,
38,B,-0.11465,0.07825,0.0628,98.92531,-0.950371,0.764346,,0.0002052,31.2,,,,,,,
39,B,-0.12402,0.07562,0.06045,93.94313,-0.952649,0.761295,,0.0002008,30.9,,,,,,,
40,B,-0.06576,0.07697,0.06217,149.91738,-0.948463,0.755943,0.80242,0.0001964,29.8,0.5757,0.8724,0.8984,0.7813,0.8132,0.9214,0.7546
41,B,-0.10175,0.07493,0.06014,118.25099,-0.951784,0.753436,,0.0001918,29.8,,,,,,,
42,B,-0.11664,0.07446,0.05991,105.44331,-0.953387,0.749691,,0.0001873,29.8,,,,,,,
43,B,-0.12656,0.07385,0.05953,97.18604,-0.953794,0.745822,,0.0001827,29.8,,,,,,,
44,B,-0.13757,0.07154,0.05671,91.06856,-0.955976,0.740898,,0.0001781,29.5,,,,,,,
45,B,-0.14483,0.07075,0.05594,86.42539,-0.956871,0.735321,0.83367,0.0001735,29.7,0.7462,0.8454,0.9318,0.8074,0.8551,0.8892,0.7605
46,B,-0.15185,0.06944,0.05486,82.98102,-0.957702,0.727464,,0.0001688,30.1,,,,,,,
47,B,-0.15732,0.07006,0.05504,80.89279,-0.958275,0.713524,,0.0001641,29.6,,,,,,,
48,B,-0.16421,0.06886,0.05357,77.80701,-0.959461,0.706004,,0.0001594,29.5,,,,,,,
49,B,-0.17062,0.06686,0.05274,74.88919,-0.960798,0.700352,,0.0001547,29.5,,,,,,,
50,B,-0.14285,0.06568,0.05148,103.85989,-0.959374,0.697597,0.82247,0.00015,29.3,0.75,0.8501,0.9394,0.805,0.8445,0.8921,0.6762
51,B,-0.15887,0.06418,0.04989,90.27866,-0.960568,0.696413,,0.0001453,29.4,,,,,,,
52,B,-0.16743,0.06369,0.0494,83.26223,-0.96149,0.694034,,0.0001406,29.4,,,,,,,
53,B,-0.17397,0.06313,0.0489,78.24457,-0.962147,0.691391,,0.0001359,29.4,,,,,,,
54,B,-0.17994,0.06204,0.04772,74.42106,-0.962874,0.68879,,0.0001312,29.3,,,,,,,
55,B,-0.18475,0.06132,0.0472,71.30543,-0.96363,0.686034,0.83458,0.0001265,29.4,0.7208,0.8554,0.9352,0.8319,0.8486,0.9393,0.7109
56,B,-0.18853,0.06098,0.04701,68.6598,-0.964005,0.683256,,0.0001219,29.5,,,,,,,
57,B,-0.19254,0.0603,0.04639,66.47703,-0.964873,0.680288,,0.0001173,29.4,,,,,,,
58,B,-0.19642,0.05959,0.0453,64.53926,-0.965556,0.677486,,0.0001127,29.3,,,,,,,
59,B,-0.20027,0.05873,0.044,62.83479,-0.966126,0.67438,,0.0001082,29.4,,,,,,,
60,B,-0.17534,0.05827,0.04512,87.24444,-0.964054,0.670971,0.80595,0.0001036,29.0,0.6279,0.855,0.9233,0.7722,0.8281,0.9144,0.7207
61,B,-0.18486,0.05817,0.04406,78.29919,-0.965223,0.673358,,9.92e-05,29.1,,,,,,,
