epoch,phase,w_L1,w_L2,w_L3,w_L4
5,A,0.2676,0.2825,0.1643,0.2856
10,A,0.2419,0.2911,0.1569,0.31
15,A,0.26,0.2806,0.1685,0.2909
20,A,0.3015,0.2627,0.1806,0.2551
25,B,0.2847,0.2697,0.1856,0.2601
30,B,0.2862,0.2616,0.1865,0.2657
35,B,0.2444,0.2499,0.2549,0.2507
40,B,0.2483,0.2399,0.2522,0.2596
45,B,0.2406,0.2543,0.2482,0.2569
50,B,0.2451,0.2491,0.25,0.2558
55,B,0.2468,0.2503,0.2515,0.2515
60,B,0.2459,0.2395,0.252,0.2626
65,B,0.2467,0.2451,0.2505,0.2578
70,B,0.2468,0.2486,0.248,0.2566
75,B,0.2481,0.2472,0.2505,0.2542
80,B,0.2479,0.247,0.2499,0.2552
85,C,0.2482,0.2516,0.2485,0.2517
90,C,0.249,0.2497,0.249,0.2523
95,C,0.2496,0.2492,0.2493,0.252
100,C,0.2498,0.2486,0.2495,0.2521
