epoch,phase,w_L1,w_L2,w_L3,w_L4
5,A,0.2766,0.2032,0.2292,0.291
10,A,0.2612,0.2089,0.2235,0.3064
15,A,0.2538,0.2054,0.215,0.3258
20,A,0.2724,0.2046,0.2252,0.2978
25,B,0.2716,0.2064,0.2278,0.2942
30,B,0.2726,0.2047,0.2321,0.2906
35,B,0.0059,0.0099,0.3399,0.6443
40,B,0.0013,0.0022,0.2204,0.7761
45,B,0.0005,0.0008,0.3486,0.6501
50,B,0.0003,0.0005,0.1365,0.8627
55,B,0.0002,0.0004,0.1063,0.8931
60,B,0.0001,0.0002,0.0751,0.9246
65,B,0.0001,0.0002,0.0654,0.9344
70,B,0.0001,0.0002,0.0683,0.9314
75,B,0.0,0.0001,0.0536,0.9463
80,B,0.0,0.0001,0.0553,0.9445
85,C,0.0,0.0001,0.0562,0.9436
90,C,0.0,0.0001,0.0586,0.9412
95,C,0.0,0.0002,0.0636,0.9362
100,C,0.0,0.0001,0.0595,0.9403
