level,class_idx,class_name,ap
1,1,LV,0.06285428020332012
1,2,RV,0.05426646720171591
1,3,LA,0.01868337779058132
1,4,RA,0.02697423228029256
1,5,Myo,0.03475283329040274
1,6,Aorta,0.087872552839738
1,7,PA,0.023583979094266308
2,1,LV,0.06377230681409705
2,2,RV,0.052144741524041686
2,3,LA,0.0169976313412887
2,4,RA,0.036474003846488204
2,5,Myo,0.20967524448509015
2,6,Aorta,0.07795382738086945
2,7,PA,0.09478504257667511
3,1,LV,0.13633074129612688
3,2,RV,0.19244053143207446
3,3,LA,0.18964671530797625
3,4,RA,0.09699082312781233
3,5,Myo,0.20437016775100378
3,6,Aorta,0.14058849356360426
3,7,PA,0.13142104040492664
4,1,LV,0.09053975613077012
4,2,RV,0.2537387364567065
4,3,LA,0.20451520865615688
4,4,RA,0.03759807771200955
4,5,Myo,0.2185057994932675
4,6,Aorta,0.3188569088089318
4,7,PA,0.1870740166949955
