level,class_idx,class_name,ap
1,1,LV,0.030674820910169442
1,2,RV,0.031922802238865594
1,3,LA,0.015122204776665711
1,4,RA,0.0009734022789702111
1,5,Myo,0.011454942993916405
1,6,Aorta,0.02300913392543054
1,7,PA,0.02782288667734343
2,1,LV,0.0677790524197977
2,2,RV,0.06418656817568112
2,3,LA,0.03298710921928642
2,4,RA,0.0838417535963322
2,5,Myo,0.020682883487383195
2,6,Aorta,0.10894003982390162
2,7,PA,0.10396315114335003
3,1,LV,0.04434535671737476
3,2,RV,0.1435054470284665
3,3,LA,0.06434997109883159
3,4,RA,0.02285416207426855
3,5,Myo,0.183251228822349
3,6,Aorta,0.07127252102094464
3,7,PA,0.0005541843527996304
4,1,LV,2.2693024852028317e-05
4,2,RV,0.20383622113245825
4,3,LA,0.019126380230374693
4,4,RA,0.03211442766180031
4,5,Myo,0.08010793718660186
4,6,Aorta,0.1484193648788924
4,7,PA,0.10830498840044106
