level,class_idx,class_name,proto_idx,compactness,level_threshold
1,1,LV,0,0.4322313356005456,0.05
1,1,LV,1,0.36030039511436274,0.05
1,1,LV,2,0.27342618201389784,0.05
1,1,LV,3,0.2772815168396501,0.05
1,2,RV,0,0.27387470844363376,0.05
1,2,RV,1,0.3351685705263753,0.05
1,2,RV,2,0.4309012673117898,0.05
1,2,RV,3,0.6692647066983309,0.05
1,3,LA,0,0.29239061844250386,0.05
1,3,LA,1,0.418100561977418,0.05
1,3,LA,2,0.4175250471130876,0.05
1,3,LA,3,0.30872931362183625,0.05
1,4,RA,0,0.41342777851199314,0.05
1,4,RA,1,0.2869062817786351,0.05
1,4,RA,2,0.2810622916733923,0.05
1,4,RA,3,0.31420595783832644,0.05
1,5,Myo,0,0.3675268188980985,0.05
1,5,Myo,1,0.6063592768897695,0.05
1,5,Myo,2,0.61815293367244,0.05
1,5,Myo,3,0.22756226594783058,0.05
1,6,Aorta,0,0.4933914941204481,0.05
1,6,Aorta,1,0.4149894399091232,0.05
1,6,Aorta,2,0.38011223028514013,0.05
1,6,Aorta,3,0.3733136515972043,0.05
1,7,PA,0,0.3228204900568182,0.05
1,7,PA,1,0.29728506419284284,0.05
1,7,PA,2,0.6394756411717943,0.05
1,7,PA,3,0.42215709843911414,0.05
2,1,LV,0,0.5009762157093395,0.08
2,1,LV,1,0.2486290734661512,0.08
2,1,LV,2,0.41348238227781187,0.08
2,2,RV,0,0.31066743204416325,0.08
2,2,RV,1,0.41078838632126485,0.08
2,2,RV,2,0.47872757714641984,0.08
2,3,LA,0,0.4879634321228532,0.08
2,3,LA,1,0.7474264980347689,0.08
2,3,LA,2,0.4985302696543292,0.08
2,4,RA,0,0.33104828763599237,0.08
2,4,RA,1,0.6936555342240767,0.08
2,4,RA,2,0.4740889367978435,0.08
2,5,Myo,0,0.550741778917549,0.08
2,5,Myo,1,0.296354908588504,0.08
2,5,Myo,2,0.28224522614282027,0.08
2,6,Aorta,0,0.5216945616666936,0.08
2,6,Aorta,1,0.6942915482954546,0.08
2,6,Aorta,2,0.2415162709133684,0.08
2,7,PA,0,0.4587481790337681,0.08
2,7,PA,1,0.5706976583181333,0.08
2,7,PA,2,0.30525008903062045,0.08
3,1,LV,0,0.4930560844988862,0.15
3,1,LV,1,0.52381483976506,0.15
3,2,RV,0,0.5364206802746481,0.15
3,2,RV,1,0.4646663823403603,0.15
3,3,LA,0,0.5276717824384201,0.15
3,3,LA,1,0.4389402216131037,0.15
3,4,RA,0,0.46281647485149796,0.15
3,4,RA,1,0.5366641273183271,0.15
3,5,Myo,0,0.42958683612918064,0.15
3,5,Myo,1,0.529708704672569,0.15
3,6,Aorta,0,0.5384061829117704,0.15
3,6,Aorta,1,0.4589432645435176,0.15
3,7,PA,0,0.2360841420071184,0.15
3,7,PA,1,0.5347023956046617,0.15
4,1,LV,0,0.5538472262295809,0.25
4,1,LV,1,0.8499200994318182,0.25
4,2,RV,0,0.8703747583814889,0.25
4,2,RV,1,0.8925828854899761,0.25
4,3,LA,0,0.8563529716050329,0.25
4,3,LA,1,0.5436489641173812,0.25
4,4,RA,0,0.8250078248583581,0.25
4,4,RA,1,0.8995647272787803,0.25
4,5,Myo,0,0.8868451079061209,0.25
4,5,Myo,1,0.5446160686902763,0.25
4,6,Aorta,0,0.864718760340667,0.25
4,6,Aorta,1,0.8818807996009007,0.25
4,7,PA,0,0.10738284528748063,0.25
4,7,PA,1,0.7907567930615638,0.25
