level,class_idx,class_name,ap
1,1,LV,0.03527162329597814
1,2,RV,0.06279129538808234
1,3,LA,0.006283231900138049
1,4,RA,0.07590657843984971
1,5,Myo,0.01304343990485611
1,6,Aorta,0.04148616148630342
1,7,PA,0.10700067009561318
2,1,LV,0.023508791159453594
2,2,RV,0.11904083151555012
2,3,LA,0.05173528987230264
2,4,RA,0.040904109304663074
2,5,Myo,0.10544736866650656
2,6,Aorta,0.043868657955822864
2,7,PA,0.030816382614988064
3,1,LV,0.09524066233622634
3,2,RV,0.17559682093714632
3,3,LA,0.10826747789831057
3,4,RA,0.13086816197461335
3,5,Myo,0.19671408919817654
3,6,Aorta,0.14086063046485556
3,7,PA,0.026976036432214575
4,1,LV,0.000397082698357788
4,2,RV,0.13963350449681036
4,3,LA,1.0710073048576005e-05
4,4,RA,0.11735817983607985
4,5,Myo,1.8276334877322188e-05
4,6,Aorta,0.2315982859889584
4,7,PA,0.08038570322404223
