level,class_idx,class_name,proto_idx,compactness,level_threshold
1,1,LV,0,0.8821981130552686,0.05
1,1,LV,1,0.742218206736667,0.05
1,1,LV,2,0.6240706956091006,0.05
1,1,LV,3,0.8540124814372417,0.05
1,2,RV,0,0.8468330004983697,0.05
1,2,RV,1,0.8236658395814501,0.05
1,2,RV,2,0.6360688012493544,0.05
1,2,RV,3,0.921697853025326,0.05
1,3,LA,0,0.8351855632687403,0.05
1,3,LA,1,0.5356272232433981,0.05
1,3,LA,2,0.8327786784526731,0.05
1,3,LA,3,0.8161773681640625,0.05
1,4,RA,0,0.8500958277174264,0.05
1,4,RA,1,0.6277443121287448,0.05
1,4,RA,2,0.8483888295071185,0.05
1,4,RA,3,0.8249041659772889,0.05
1,5,Myo,0,0.3027908072983923,0.05
1,5,Myo,1,0.8370792924865218,0.05
1,5,Myo,2,0.5847469361360408,0.05
1,5,Myo,3,0.841585837119867,0.05
1,6,Aorta,0,0.8103263791927622,0.05
1,6,Aorta,1,0.900739338772356,0.05
1,6,Aorta,2,0.7958985320792711,0.05
1,6,Aorta,3,0.8596188884136106,0.05
1,7,PA,0,0.6148762978798101,0.05
1,7,PA,1,0.8812319227486602,0.05
1,7,PA,2,0.8369756020790289,0.05
1,7,PA,3,0.8061355086397534,0.05
2,1,LV,0,0.24282887356340394,0.08
2,1,LV,1,0.4607156485565438,0.08
2,1,LV,2,0.4496768289361118,0.08
2,2,RV,0,0.45767697420987213,0.08
2,2,RV,1,0.32932426515689567,0.08
2,2,RV,2,0.2425693480436467,0.08
2,3,LA,0,0.24336107112159414,0.08
2,3,LA,1,0.4569006990795293,0.08
2,3,LA,2,0.36584781615202094,0.08
2,4,RA,0,0.4395071928166161,0.08
2,4,RA,1,0.25710179983091747,0.08
2,4,RA,2,0.24113234212575865,0.08
2,5,Myo,0,0.4388274515955901,0.08
2,5,Myo,1,0.35703870284655864,0.08
2,5,Myo,2,0.24469192757094202,0.08
2,6,Aorta,0,0.5085944814130294,0.08
2,6,Aorta,1,0.30755069827245285,0.08
2,6,Aorta,2,0.24721331635782542,0.08
2,7,PA,0,0.47633667622715975,0.08
2,7,PA,1,0.35354570120819345,0.08
2,7,PA,2,0.2409723139991445,0.08
3,1,LV,0,0.7320739178618124,0.15
3,1,LV,1,0.6844668743038965,0.15
3,2,RV,0,0.6954374392170551,0.15
3,2,RV,1,0.670156179380811,0.15
3,3,LA,0,0.6987783258611505,0.15
3,3,LA,1,0.6912974838382941,0.15
3,4,RA,0,0.7066786900039547,0.15
3,4,RA,1,0.6793980559041678,0.15
3,5,Myo,0,0.789351471199477,0.15
3,5,Myo,1,0.666844769942859,0.15
3,6,Aorta,0,0.6976176175204191,0.15
3,6,Aorta,1,0.6448760229693956,0.15
3,7,PA,0,0.8197252573060595,0.15
3,7,PA,1,0.6391887191898566,0.15
4,1,LV,0,0.33315031193504646,0.25
4,1,LV,1,0.4016464485609827,0.25
4,2,RV,0,0.32103748163901086,0.25
4,2,RV,1,0.4116190445324606,0.25
4,3,LA,0,0.3292760612550846,0.25
4,3,LA,1,0.41487058529183884,0.25
4,4,RA,0,0.33644189125250196,0.25
4,4,RA,1,0.41636742836187696,0.25
4,5,Myo,0,0.3290946266867898,0.25
4,5,Myo,1,0.4052526300603693,0.25
4,6,Aorta,0,0.413535252090328,0.25
4,6,Aorta,1,0.5064898719472334,0.25
4,7,PA,0,0.0735017760726046,0.25
4,7,PA,1,0.41622168170519114,0.25
