level,class_idx,class_name,ap
1,1,LV,0.05703312501294225
1,2,RV,0.057104651416131885
1,3,LA,0.006129440569430916
1,4,RA,0.03479457085217111
1,5,Myo,0.103922227152223
1,6,Aorta,0.006578158632616901
1,7,PA,0.05018956701402083
2,1,LV,0.11789256858173758
2,2,RV,0.2224416905544575
2,3,LA,0.085179827600325
2,4,RA,0.15375985100495915
2,5,Myo,0.2554325237490183
2,6,Aorta,0.040250264587552355
2,7,PA,0.02135784856297753
3,1,LV,0.0676081175838928
3,2,RV,0.18918921807703892
3,3,LA,0.029328266911070086
3,4,RA,0.1441213619773332
3,5,Myo,0.20700776136914664
3,6,Aorta,0.21186906688900525
3,7,PA,0.10163740505856916
4,1,LV,0.16403064517783433
4,2,RV,0.18801292100505643
4,3,LA,0.042704125839354824
4,4,RA,0.21380224487982874
4,5,Myo,0.23807311876914378
4,6,Aorta,0.3430551453839895
4,7,PA,0.17434128125444487
