subset,n_levels,3d_dice,mean_purity,eff_purity,eff_ap,eff_compact,dom_l1,purity_l1,dom_l2,purity_l2,dom_l3,purity_l3,dom_l4,purity_l4
{L1},1,2.7421109554412237e-06,0.08357142857142856,0.08357142857142856,0.02014002768590876,0.3581395019747431,1.0,0.08357142857142856,0.0,,0.0,,0.0,
{L2},1,4.998413110744131e-11,0.1952380952380952,0.1952380952380952,0.06891150826653318,0.3291696370562809,0.0,,1.0,0.1952380952380952,0.0,,0.0,
{L3},1,4.998408625244858e-11,0.6128571428571429,0.6128571428571429,0.07573326730214781,0.5287643486662486,0.0,,0.0,,1.0,0.6128571428571429,0.0,
{L4},1,0.46391965981040684,0.6885714285714286,0.6885714285714286,0.08456171607363151,0.494348084631045,0.0,,0.0,,0.0,,1.0,0.6885714285714286
"{L1,L2}",2,0.019900080773814485,0.1394047619047619,0.1504371959006209,0.04934428863639464,0.34079240722373394,0.4012020836191729,0.08357142857142856,0.5987979163808271,0.1952380952380952,0.0,,0.0,
"{L1,L3}",2,0.01583757542838691,0.3482142857142857,0.24151036711763746,0.036729058937551656,0.4090539824693348,0.7015998462014947,0.08357142857142856,0.0,,0.2984001537985053,0.6128571428571429,0.0,
"{L1,L4}",2,0.5490228890308312,0.38607142857142857,0.25578486851283483,0.03847768151083947,0.3969113177909168,0.7153496860472623,0.08357142857142856,0.0,,0.0,,0.2846503139527376,0.6885714285714286
"{L2,L3}",2,0.022592434090461237,0.40404761904761904,0.30034619990036926,0.07062843704835987,0.3794044669988892,0.0,,0.7483158269204384,0.1952380952380952,0.2516841730795616,0.6128571428571429,0.0,
"{L2,L4}",2,0.6452294630663735,0.4419047619047619,0.33836568376765574,0.0734520011788639,0.3770917847828331,0.0,,0.7098765097373774,0.1952380952380952,0.0,,0.2901234902626227,0.6885714285714286
"{L3,L4}",2,0.6947611687438828,0.6507142857142858,0.6563111505879984,0.08080009818549236,0.509012136922531,0.0,,0.0,,0.42607914317737927,0.6128571428571429,0.5739208568226207,0.6885714285714286
"{L1,L2,L3}",3,0.056173658934256784,0.2972222222222222,0.2276203170304972,0.05344494503489063,0.372700159474723,0.3407114517590231,0.08357142857142856,0.490646015514027,0.1952380952380952,0.1686425327269499,0.6128571428571429,0.0,
"{L1,L2,L4}",3,0.6699295427118028,0.3224603174603175,0.24505591354610318,0.05636263759582526,0.36657958381044786,0.31239359832007035,0.08357142857142856,0.5159136244088165,0.1952380952380952,0.0,,0.17169277727111312,0.6885714285714286
"{L1,L3,L4}",3,0.813681342772075,0.46166666666666667,0.3321144220201297,0.046427186250440684,0.4260664092837991,0.5600752397017046,0.08357142857142856,0.0,,0.23260453909881845,0.6128571428571429,0.20732022119947702,0.6885714285714286
"{L2,L3,L4}",3,0.8003629488604409,0.4988888888888889,0.3792902277886797,0.07367640884116172,0.4007811059589972,0.0,,0.6012760824408413,0.1952380952380952,0.16709748575510072,0.6128571428571429,0.23162643180405798,0.6885714285714286
"{L1,L2,L3,L4}",4,0.8415987917355129,0.3950595238095238,0.28557731576624557,0.058143680379192736,0.38663098029662035,0.2810823109524309,0.08357142857142856,0.45018872347745026,0.1952380952380952,0.14325184467410254,0.6128571428571429,0.12547712089601626,0.6885714285714286
