epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,attn_w_L1,attn_w_L2,attn_w_L3,attn_w_L4,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.50719,0.96936,2.04501,0.0,0.0,0.0,0.13846,0.0002999,24.2,0.24411,0.24829,0.25811,0.24948,0.0,0.2506,0.1974,0.0,0.2455,0.2509,0.0249
2,A,5.0,1.49318,0.96843,2.01792,0.0,0.0,0.0,,0.0002997,24.1,,,,,,,,,,,
3,A,5.0,1.48142,0.96764,1.9952,0.0,0.0,0.0,,0.0002993,23.9,,,,,,,,,,,
4,A,5.0,1.47069,0.9669,1.97448,0.0,0.0,0.0,,0.0002988,23.9,,,,,,,,,,,
5,A,5.0,1.46295,0.96628,1.95962,0.0,0.0,0.0,0.32138,0.0002982,23.9,0.23194,0.2394,0.25549,0.27316,0.1431,0.4319,0.5182,0.1127,0.3786,0.569,0.0961
6,A,5.0,1.45579,0.96587,1.94572,0.0,0.0,0.0,,0.0002973,24.2,,,,,,,,,,,
7,A,5.0,1.448,0.96525,1.93074,0.0,0.0,0.0,,0.0002964,24.2,,,,,,,,,,,
8,A,5.0,1.44133,0.9647,1.91796,0.0,0.0,0.0,,0.0002953,24.2,,,,,,,,,,,
9,A,5.0,1.43363,0.96413,1.90314,0.0,0.0,0.0,,0.000294,24.1,,,,,,,,,,,
10,A,5.0,1.42898,0.96377,1.89419,0.0,0.0,0.0,0.32117,0.0002927,24.1,0.21781,0.23086,0.25273,0.2986,0.1616,0.3168,0.6529,0.1976,0.3646,0.4226,0.1321
11,A,5.0,1.42124,0.96309,1.87939,0.0,0.0,0.0,,0.0002911,24.2,,,,,,,,,,,
12,A,5.0,1.41634,0.96274,1.86993,0.0,0.0,0.0,,0.0002895,24.0,,,,,,,,,,,
13,A,5.0,1.41111,0.96231,1.85991,0.0,0.0,0.0,,0.0002877,24.1,,,,,,,,,,,
14,A,5.0,1.40433,0.9617,1.84696,0.0,0.0,0.0,,0.0002857,24.1,,,,,,,,,,,
15,A,5.0,1.40038,0.96137,1.8394,0.0,0.0,0.0,0.44809,0.0002837,24.2,0.20896,0.22529,0.24787,0.31789,0.2198,0.5726,0.8201,0.3468,0.3634,0.5709,0.243
16,A,5.0,1.39484,0.96094,1.82874,0.0,0.0,0.0,,0.0002814,24.1,,,,,,,,,,,
17,A,5.0,1.389,0.96042,1.81759,0.0,0.0,0.0,,0.0002791,24.1,,,,,,,,,,,
18,A,5.0,1.38559,0.96015,1.81103,0.0,0.0,0.0,,0.0002766,24.4,,,,,,,,,,,
19,A,5.0,1.38166,0.95976,1.80356,0.0,0.0,0.0,,0.0002741,24.3,,,,,,,,,,,
20,A,5.0,1.37793,0.95943,1.79642,0.0,0.0,0.0,0.49728,0.0002714,24.3,0.19519,0.21613,0.24252,0.34616,0.2526,0.6034,0.8753,0.3792,0.432,0.6417,0.2967
21,B,5.0,1.85042,0.961,1.82905,76.26003,-0.835707,0.442568,,0.0002685,40.3,,,,,,,,,,,
22,B,5.0,1.82869,0.96029,1.81302,76.21888,-0.850547,0.420471,,0.0002656,40.2,,,,,,,,,,,
23,B,5.0,1.81243,0.95968,1.79861,76.17085,-0.861164,0.408614,,0.0002625,40.3,,,,,,,,,,,
24,B,5.0,1.8006,0.95919,1.78831,76.11453,-0.868453,0.399722,,0.0002593,39.8,,,,,,,,,,,
25,B,5.0,1.79388,0.95885,1.78209,76.05443,-0.871199,0.393856,0.2931,0.0002561,39.8,0.19071,0.21264,0.24132,0.35534,0.0627,0.4291,0.3691,0.2184,0.2451,0.4205,0.3067
26,B,5.0,1.78532,0.9585,1.77443,75.98489,-0.876291,0.3886,,0.0002527,39.8,,,,,,,,,,,
27,B,5.0,1.77936,0.95826,1.76889,75.92681,-0.878913,0.383873,,0.0002492,39.8,,,,,,,,,,,
28,B,5.0,1.77282,0.95797,1.7629,75.86003,-0.88211,0.379346,,0.0002456,39.8,,,,,,,,,,,
29,B,5.0,1.76896,0.95784,1.75899,75.78913,-0.882737,0.376083,,0.0002419,39.7,,,,,,,,,,,
30,B,5.0,1.77591,0.95852,1.77406,75.83273,-0.893,0.391189,0.42231,0.0002382,39.8,0.1875,0.21082,0.23798,0.3637,0.1449,0.4938,0.6777,0.3067,0.5454,0.4243,0.3633
31,B,5.0,1.70566,0.95162,1.64252,75.77314,-0.891647,0.386736,,0.0002343,39.6,,,,,,,,,,,
32,B,4.803,1.67981,0.94909,1.59913,75.70154,-0.895275,0.385286,,0.0002304,40.6,,,,,,,,,,,
33,B,4.613,1.6717,0.94839,1.58902,75.6235,-0.897285,0.38163,,0.0002264,40.0,,,,,,,,,,,
34,B,4.431,1.66549,0.94791,1.58104,75.55442,-0.898411,0.378701,,0.0002223,39.9,,,,,,,,,,,
35,B,4.257,1.65876,0.94752,1.57407,75.46913,-0.901528,0.376148,0.53891,0.0002181,39.9,1e-05,1e-05,3e-05,0.99996,0.3394,0.5976,0.8806,0.4806,0.5401,0.5792,0.355
36,B,4.089,1.65552,0.94725,1.57077,75.39569,-0.901919,0.37404,,0.0002139,39.8,,,,,,,,,,,
37,B,3.928,1.64819,0.94676,1.56373,75.31214,-0.906175,0.371628,,0.0002096,39.8,,,,,,,,,,,
38,B,3.773,1.64303,0.94646,1.55864,75.23134,-0.908744,0.370163,,0.0002052,39.8,,,,,,,,,,,
39,B,3.624,1.64047,0.94637,1.55625,75.14603,-0.90886,0.368548,,0.0002008,39.8,,,,,,,,,,,
40,B,3.481,1.64374,0.94666,1.56179,75.17975,-0.912093,0.375074,0.54063,0.0001964,40.0,0.0,0.0,0.0,1.0,0.2708,0.6437,0.8384,0.4323,0.5461,0.5972,0.4558
41,B,3.344,1.63768,0.9462,1.55548,75.07064,-0.914041,0.372631,,0.0001918,40.1,,,,,,,,,,,
42,B,3.212,1.6329,0.94597,1.55111,74.96833,-0.915647,0.370006,,0.0001873,39.9,,,,,,,,,,,
43,B,3.085,1.63018,0.94581,1.54804,74.8901,-0.915358,0.368134,,0.0001827,40.3,,,,,,,,,,,
44,B,2.963,1.62576,0.94546,1.54453,74.80361,-0.917548,0.366027,,0.0001781,40.1,,,,,,,,,,,
45,B,2.847,1.62164,0.94524,1.54036,74.71102,-0.919078,0.365094,0.57208,0.0001735,40.1,0.0,0.0,0.0,1.0,0.3305,0.6329,0.8826,0.5251,0.5697,0.623,0.4407
46,B,2.734,1.61913,0.94516,1.53806,74.62841,-0.919477,0.363913,,0.0001688,40.0,,,,,,,,,,,
47,B,2.627,1.6178,0.94504,1.53686,74.55917,-0.91881,0.362659,,0.0001641,39.8,,,,,,,,,,,
48,B,2.523,1.61271,0.94472,1.53246,74.46824,-0.92183,0.361416,,0.0001594,40.0,,,,,,,,,,,
49,B,2.423,1.61153,0.9447,1.5315,74.40295,-0.921382,0.360375,,0.0001547,39.8,,,,,,,,,,,
50,B,2.328,1.61351,0.94491,1.53384,74.44146,-0.922406,0.363713,0.54357,0.00015,40.0,0.0,0.0,0.0,1.0,0.3477,0.6597,0.8601,0.467,0.4988,0.6239,0.3478
51,B,2.236,1.61039,0.94466,1.53171,74.34678,-0.92363,0.362214,,0.0001453,39.7,,,,,,,,,,,
52,B,2.148,1.60677,0.94454,1.52831,74.25422,-0.92476,0.360713,,0.0001406,39.8,,,,,,,,,,,
53,B,2.063,1.60463,0.94424,1.52611,74.18734,-0.924541,0.359387,,0.0001359,39.8,,,,,,,,,,,
54,B,1.982,1.60189,0.94416,1.52383,74.11393,-0.925735,0.358508,,0.0001312,39.8,,,,,,,,,,,
55,B,1.904,1.60033,0.94407,1.52264,74.05779,-0.925852,0.357281,0.579,0.0001265,39.6,0.0,0.0,0.0,1.0,0.3278,0.6765,0.8753,0.5355,0.549,0.6458,0.4431
56,B,1.829,1.59744,0.94393,1.52018,73.98079,-0.927119,0.356535,,0.0001219,39.7,,,,,,,,,,,
57,B,1.756,1.5956,0.94388,1.51885,73.9254,-0.927802,0.35552,,0.0001173,39.6,,,,,,,,,,,
58,B,1.687,1.5943,0.94371,1.5172,73.8833,-0.927499,0.35505,,0.0001127,39.7,,,,,,,,,,,
59,B,1.621,1.59296,0.9436,1.51618,73.82339,-0.927662,0.354675,,0.0001082,39.7,,,,,,,,,,,
60,B,1.557,1.59454,0.94372,1.51753,73.86099,-0.927751,0.35674,0.57993,0.0001036,39.8,0.0,0.0,0.0,1.0,0.3806,0.67,0.8924,0.4976,0.5825,0.6304,0.4059
61,B,1.495,1.59137,0.94345,1.51525,73.78124,-0.929313,0.35545,,9.92e-05,39.6,,,,,,,,,,,
62,B,1.436,1.58948,0.94337,1.51328,73.72608,-0.929564,0.354695,,9.48e-05,39.6,,,,,,,,,,,
63,B,1.38,1.58679,0.94322,1.51111,73.66984,-0.931069,0.35384,,9.04e-05,39.7,,,,,,,,,,,
64,B,1.325,1.58504,0.94311,1.50993,73.60165,-0.931531,0.353072,,8.61e-05,39.7,,,,,,,,,,,
65,B,1.273,1.58524,0.94315,1.50955,73.58734,-0.930226,0.352512,0.57549,8.19e-05,39.6,0.0,0.0,0.0,1.0,0.3403,0.6572,0.8777,0.5297,0.5602,0.6329,0.4306
66,B,1.223,1.58226,0.94301,1.50707,73.51931,-0.932022,0.352147,,7.77e-05,39.8,,,,,,,,,,,
67,B,1.175,1.58173,0.94296,1.50667,73.48702,-0.931812,0.351803,,7.36e-05,39.6,,,,,,,,,,,
68,B,1.128,1.5808,0.94296,1.5061,73.45402,-0.93203,0.350998,,6.96e-05,39.6,,,,,,,,,,,
69,B,1.084,1.57901,0.94278,1.50429,73.418,-0.93277,0.350686,,6.57e-05,39.7,,,,,,,,,,,
70,B,1.041,1.58172,0.94306,1.50671,73.46035,-0.932055,0.353017,0.58397,6.18e-05,39.7,0.0,0.0,0.0,1.0,0.3484,0.6638,0.8909,0.5247,0.6059,0.6368,0.4173
71,B,1.0,1.5801,0.94286,1.50595,73.4086,-0.932905,0.352225,,5.81e-05,39.5,,,,,,,,,,,
72,B,1.0,1.57749,0.94267,1.50374,73.36722,-0.934368,0.35118,,5.44e-05,39.6,,,,,,,,,,,
73,B,1.0,1.5764,0.94269,1.50275,73.31801,-0.934447,0.350881,,5.08e-05,39.7,,,,,,,,,,,
74,B,1.0,1.57562,0.94264,1.50223,73.301,-0.934877,0.350459,,4.73e-05,39.6,,,,,,,,,,,
75,B,1.0,1.57578,0.9426,1.50195,73.27597,-0.933687,0.350342,0.58012,4.39e-05,39.6,0.0,0.0,0.0,1.0,0.3289,0.6648,0.8735,0.5384,0.5857,0.6281,0.4414
76,B,1.0,1.57381,0.94248,1.50068,73.24076,-0.93525,0.34982,,4.07e-05,39.6,,,,,,,,,,,
77,B,1.0,1.5735,0.94249,1.50006,73.22805,-0.934859,0.349475,,3.75e-05,39.8,,,,,,,,,,,
78,B,1.0,1.57238,0.94247,1.49951,73.19308,-0.935755,0.349345,,3.44e-05,40.1,,,,,,,,,,,
79,B,1.0,1.57122,0.94237,1.49849,73.17315,-0.936316,0.348845,,3.15e-05,39.9,,,,,,,,,,,
80,B,1.0,1.57284,0.94252,1.49991,73.18053,-0.935828,0.350921,0.57538,2.86e-05,40.1,0.0,0.0,0.0,1.0,0.3367,0.6683,0.8767,0.5104,0.5812,0.6454,0.409
81,C,1.0,1.57243,0.94256,1.49949,73.17706,-0.936151,0.350814,,2.59e-05,19.2,,,,,,,,,,,
82,C,1.0,1.57226,0.9424,1.49957,73.17572,-0.936327,0.350707,,2.34e-05,19.2,,,,,,,,,,,
83,C,1.0,1.5722,0.94245,1.49936,73.16696,-0.936214,0.350922,,2.09e-05,19.1,,,,,,,,,,,
84,C,1.0,1.57322,0.94252,1.5001,73.18649,-0.935393,0.350952,,1.86e-05,19.2,,,,,,,,,,,
85,C,1.0,1.57255,0.94247,1.49981,73.17037,-0.935998,0.350847,0.57511,1.63e-05,19.2,0.0,0.0,0.0,1.0,0.3315,0.6679,0.8748,0.5309,0.5683,0.6377,0.4148
86,C,1.0,1.57177,0.94242,1.49912,73.16921,-0.936725,0.3507,,1.43e-05,19.1,,,,,,,,,,,
87,C,1.0,1.57219,0.94244,1.49941,73.17041,-0.936287,0.350797,,1.23e-05,19.2,,,,,,,,,,,
88,C,1.0,1.57272,0.94252,1.49964,73.18042,-0.935763,0.350839,,1.05e-05,19.1,,,,,,,,,,,
89,C,1.0,1.57184,0.94241,1.4993,73.16678,-0.936768,0.350799,,8.9e-06,19.3,,,,,,,,,,,
90,C,1.0,1.57245,0.94252,1.49954,73.16874,-0.935998,0.350929,0.57663,7.3e-06,19.3,0.0,0.0,0.0,1.0,0.3327,0.667,0.8731,0.5336,0.5748,0.6356,0.4196
91,C,1.0,1.57181,0.94238,1.49913,73.16934,-0.936659,0.350766,,6e-06,19.1,,,,,,,,,,,
92,C,1.0,1.57243,0.94241,1.49966,73.16852,-0.935971,0.350808,,4.7e-06,19.2,,,,,,,,,,,
93,C,1.0,1.57219,0.94248,1.49926,73.17472,-0.936293,0.350888,,3.6e-06,19.2,,,,,,,,,,,
94,C,1.0,1.57289,0.94247,1.5,73.17699,-0.93566,0.350866,,2.7e-06,19.5,,,,,,,,,,,
95,C,1.0,1.57275,0.94252,1.49972,73.17656,-0.935732,0.350903,0.56663,1.8e-06,19.5,0.0,0.0,0.0,1.0,0.3162,0.6571,0.8681,0.5235,0.5649,0.6321,0.4044
96,C,1.0,1.57249,0.94253,1.49962,73.17213,-0.936059,0.350885,,1.2e-06,19.2,,,,,,,,,,,
97,C,1.0,1.57197,0.94242,1.49919,73.16926,-0.936496,0.350882,,7e-07,19.2,,,,,,,,,,,
98,C,1.0,1.57191,0.94236,1.49921,73.17592,-0.936713,0.350869,,3e-07,19.2,,,,,,,,,,,
99,C,1.0,1.57249,0.94244,1.49974,73.16938,-0.936008,0.350855,,1e-07,19.3,,,,,,,,,,,
100,C,1.0,1.57225,0.94246,1.49935,73.17253,-0.936205,0.350888,0.58617,0.0,19.3,0.0,0.0,0.0,1.0,0.346,0.6813,0.878,0.5458,0.5857,0.642,0.4243
