epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.50228,0.96891,2.03564,0.0,0.0,0.0,0.15033,0.0002999,13.2,0.075,0.1148,0.2008,0.0992,0.4069,0.1253,0.0303
2,A,5.0,1.4806,0.96744,1.99376,0.0,0.0,0.0,,0.0002997,13.1,,,,,,,
3,A,5.0,1.46062,0.96595,1.9553,0.0,0.0,0.0,,0.0002993,13.4,,,,,,,
4,A,5.0,1.44529,0.96482,1.92576,0.0,0.0,0.0,,0.0002988,13.2,,,,,,,
5,A,5.0,1.43092,0.96369,1.89815,0.0,0.0,0.0,0.37924,0.0002982,13.4,0.1662,0.4077,0.6747,0.2415,0.4272,0.4438,0.2936
6,A,5.0,1.41975,0.96279,1.87671,0.0,0.0,0.0,,0.0002973,13.4,,,,,,,
7,A,5.0,1.41004,0.96199,1.85809,0.0,0.0,0.0,,0.0002964,13.3,,,,,,,
8,A,5.0,1.39992,0.96108,1.83875,0.0,0.0,0.0,,0.0002953,13.2,,,,,,,
9,A,5.0,1.39128,0.9604,1.82216,0.0,0.0,0.0,,0.000294,13.4,,,,,,,
10,A,5.0,1.38233,0.95956,1.80509,0.0,0.0,0.0,0.50165,0.0002927,13.4,0.2564,0.7049,0.8494,0.2191,0.5291,0.5479,0.4048
11,A,5.0,1.37276,0.95874,1.78678,0.0,0.0,0.0,,0.0002911,13.1,,,,,,,
12,A,5.0,1.3653,0.95803,1.77257,0.0,0.0,0.0,,0.0002895,13.3,,,,,,,
13,A,5.0,1.35819,0.95734,1.75903,0.0,0.0,0.0,,0.0002877,13.2,,,,,,,
14,A,5.0,1.35175,0.95673,1.74677,0.0,0.0,0.0,,0.0002857,13.4,,,,,,,
15,A,5.0,1.3453,0.95615,1.73444,0.0,0.0,0.0,0.49084,0.0002837,13.2,0.3248,0.5336,0.8225,0.3244,0.4598,0.527,0.4439
16,A,5.0,1.33955,0.95552,1.72358,0.0,0.0,0.0,,0.0002814,13.1,,,,,,,
17,A,5.0,1.33416,0.95496,1.71337,0.0,0.0,0.0,,0.0002791,13.1,,,,,,,
18,A,5.0,1.32715,0.95423,1.70007,0.0,0.0,0.0,,0.0002766,13.1,,,,,,,
19,A,5.0,1.32192,0.95375,1.6901,0.0,0.0,0.0,,0.0002741,13.1,,,,,,,
20,A,5.0,1.31692,0.95326,1.68057,0.0,0.0,0.0,0.46368,0.0002714,13.2,0.3134,0.5038,0.7899,0.3343,0.3784,0.574,0.352
21,B,5.0,1.0664,0.95482,1.70668,6.91429,-0.863637,0.393312,,0.0002685,15.7,,,,,,,
22,B,5.0,1.04467,0.9539,1.68898,6.92296,-0.867018,0.350016,,0.0002656,15.4,,,,,,,
23,B,5.0,1.0308,0.95329,1.67656,6.92677,-0.871043,0.328516,,0.0002625,15.5,,,,,,,
24,B,5.0,1.01998,0.95278,1.66619,6.92864,-0.874687,0.31421,,0.0002593,15.4,,,,,,,
25,B,5.0,1.01135,0.95233,1.65793,6.92918,-0.877914,0.303534,0.4315,0.0002561,15.5,0.2086,0.4576,0.7796,0.2973,0.3784,0.5555,0.3435
26,B,5.0,1.00451,0.95196,1.65141,6.92968,-0.880226,0.294547,,0.0002527,15.4,,,,,,,
27,B,5.0,0.99654,0.95151,1.64368,6.92969,-0.88422,0.287044,,0.0002492,15.4,,,,,,,
28,B,5.0,0.99311,0.95131,1.64015,6.92973,-0.884203,0.280762,,0.0002456,15.7,,,,,,,
29,B,5.0,0.98949,0.95109,1.63622,6.92944,-0.884547,0.275252,,0.0002419,15.5,,,,,,,
30,B,5.0,0.99976,0.95256,1.65901,6.93924,-0.900668,0.299655,0.48848,0.0002382,15.6,0.2365,0.5596,0.7832,0.3603,0.5424,0.5263,0.4111
31,B,5.0,0.99092,0.95207,1.65048,6.94094,-0.903284,0.287493,,0.0002343,15.2,,,,,,,
32,B,5.0,0.98224,0.95161,1.6414,6.9423,-0.906524,0.278273,,0.0002304,15.4,,,,,,,
33,B,5.0,0.97692,0.95129,1.63549,6.9434,-0.907236,0.270874,,0.0002264,15.3,,,,,,,
34,B,5.0,0.97371,0.95103,1.6313,6.94426,-0.90628,0.264953,,0.0002223,15.4,,,,,,,
35,B,5.0,0.97057,0.95081,1.6277,6.94493,-0.906489,0.260432,0.49026,0.0002181,15.4,0.2229,0.5765,0.7821,0.3644,0.4816,0.5399,0.4644
36,B,5.0,0.96471,0.95041,1.62145,6.94482,-0.909291,0.255912,,0.0002139,15.6,,,,,,,
37,B,5.0,0.96277,0.95031,1.61903,6.94549,-0.90876,0.252103,,0.0002096,15.7,,,,,,,
38,B,5.0,0.95864,0.95008,1.6141,6.94569,-0.910136,0.248625,,0.0002052,15.6,,,,,,,
39,B,5.0,0.95647,0.94984,1.61124,6.94598,-0.909732,0.245352,,0.0002008,15.6,,,,,,,
40,B,5.0,0.95992,0.95029,1.61811,6.94801,-0.914383,0.253715,0.49111,0.0001964,16.1,0.2311,0.5872,0.7741,0.3853,0.4521,0.6033,0.4046
41,B,5.0,0.95609,0.94999,1.61383,6.94916,-0.914718,0.248189,,0.0001918,15.3,,,,,,,
42,B,5.0,0.9499,0.94967,1.60674,6.94982,-0.91723,0.243265,,0.0001873,15.6,,,,,,,
43,B,5.0,0.94754,0.94945,1.60385,6.95055,-0.916927,0.239393,,0.0001827,15.6,,,,,,,
44,B,5.0,0.94554,0.94925,1.60106,6.95123,-0.916411,0.236309,,0.0001781,15.6,,,,,,,
