epoch,train_loss,val_mean_fg_dice,lr,epoch_time_s,attn_w_L1,attn_w_L2,attn_w_L3,attn_w_L4,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,1.23511,0.60496,0.0009996,20.4,0.0,0.0,0.0,1.0,0.4118,0.6359,0.8601,0.6153,0.6182,0.662,0.4315
2,1.23343,,0.0009985,20.4,,,,,,,,,,,
3,1.2335,,0.0009965,20.4,,,,,,,,,,,
4,1.23348,,0.0009938,20.3,,,,,,,,,,,
5,1.23336,0.6034,0.0009904,20.0,0.0,0.0,0.0,1.0,0.4086,0.6384,0.863,0.6114,0.6115,0.6633,0.4277
6,1.23339,,0.0009862,19.9,,,,,,,,,,,
7,1.23331,,0.0009812,20.0,,,,,,,,,,,
8,1.23342,,0.0009755,20.0,,,,,,,,,,,
9,1.23347,,0.0009691,20.2,,,,,,,,,,,
10,1.23344,0.6054,0.0009619,20.1,0.0,0.0,0.0,1.0,0.4167,0.6349,0.8593,0.6163,0.6203,0.6641,0.4262
11,1.23346,,0.0009541,20.0,,,,,,,,,,,
12,1.2334,,0.0009455,20.1,,,,,,,,,,,
13,1.23337,,0.0009362,21.2,,,,,,,,,,,
14,1.23335,,0.0009263,20.9,,,,,,,,,,,
15,1.23334,0.60454,0.0009157,20.3,0.0,0.0,0.0,1.0,0.4125,0.6397,0.8593,0.6126,0.6188,0.6636,0.4252
16,1.23346,,0.0009045,21.4,,,,,,,,,,,
17,1.2334,,0.0008927,20.3,,,,,,,,,,,
18,1.23342,,0.0008802,20.0,,,,,,,,,,,
19,1.23348,,0.0008672,20.1,,,,,,,,,,,
20,1.23342,0.60582,0.0008536,20.2,0.0,0.0,0.0,1.0,0.415,0.6381,0.8553,0.618,0.621,0.6637,0.4297
21,1.23339,,0.0008394,20.2,,,,,,,,,,,
22,1.23343,,0.0008247,20.2,,,,,,,,,,,
23,1.23335,,0.0008095,20.4,,,,,,,,,,,
24,1.23349,,0.0007939,20.2,,,,,,,,,,,
25,1.23353,0.60406,0.0007778,20.1,0.0,0.0,0.0,1.0,0.4092,0.6406,0.8591,0.6126,0.6153,0.6633,0.4284
26,1.23351,,0.0007612,20.1,,,,,,,,,,,
27,1.23345,,0.0007443,20.1,,,,,,,,,,,
28,1.23347,,0.000727,20.1,,,,,,,,,,,
29,1.23345,,0.0007093,20.0,,,,,,,,,,,
30,1.23342,0.60387,0.0006913,20.2,0.0,0.0,0.0,1.0,0.4093,0.6378,0.8624,0.6146,0.6139,0.6618,0.4273
31,1.23351,,0.0006731,19.5,,,,,,,,,,,
32,1.23342,,0.0006545,19.7,,,,,,,,,,,
33,1.23331,,0.0006357,19.9,,,,,,,,,,,
34,1.23328,,0.0006167,20.0,,,,,,,,,,,
35,1.23346,0.60295,0.0005975,19.9,0.0,0.0,0.0,1.0,0.4109,0.6343,0.8609,0.6132,0.6184,0.6624,0.4206
36,1.23352,,0.0005782,20.2,,,,,,,,,,,
37,1.23336,,0.0005588,20.1,,,,,,,,,,,
38,1.23348,,0.0005392,20.1,,,,,,,,,,,
39,1.23339,,0.0005196,20.1,,,,,,,,,,,
40,1.23339,0.60647,0.0005,20.1,0.0,0.0,0.0,1.0,0.4185,0.6425,0.8556,0.6166,0.6241,0.6656,0.4223
41,1.23345,,0.0004804,20.2,,,,,,,,,,,
42,1.23342,,0.0004608,20.5,,,,,,,,,,,
43,1.23352,,0.0004412,21.0,,,,,,,,,,,
44,1.23336,,0.0004218,20.9,,,,,,,,,,,
45,1.23342,0.60214,0.0004025,20.3,0.0,0.0,0.0,1.0,0.4093,0.6289,0.8647,0.6111,0.6131,0.6627,0.4252
46,1.23342,,0.0003833,19.7,,,,,,,,,,,
47,1.23346,,0.0003643,20.2,,,,,,,,,,,
48,1.23339,,0.0003455,20.1,,,,,,,,,,,
49,1.23347,,0.0003269,20.1,,,,,,,,,,,
50,1.23341,0.60449,0.0003087,20.2,0.0,0.0,0.0,1.0,0.4117,0.6382,0.8522,0.6148,0.618,0.665,0.4316
51,1.23351,,0.0002907,20.2,,,,,,,,,,,
52,1.23349,,0.000273,20.2,,,,,,,,,,,
53,1.23334,,0.0002557,20.1,,,,,,,,,,,
54,1.23351,,0.0002388,20.3,,,,,,,,,,,
55,1.23348,0.60567,0.0002222,20.2,0.0,0.0,0.0,1.0,0.4143,0.6405,0.8573,0.6149,0.6179,0.666,0.4287
56,1.23342,,0.0002061,20.5,,,,,,,,,,,
57,1.23345,,0.0001905,20.3,,,,,,,,,,,
58,1.23338,,0.0001753,20.2,,,,,,,,,,,
59,1.23341,,0.0001606,20.1,,,,,,,,,,,
60,1.23342,0.60543,0.0001464,20.1,0.0,0.0,0.0,1.0,0.4155,0.6358,0.8596,0.6166,0.6193,0.6638,0.4274
61,1.23342,,0.0001328,20.2,,,,,,,,,,,
62,1.23339,,0.0001198,20.6,,,,,,,,,,,
63,1.23349,,0.0001073,20.7,,,,,,,,,,,
64,1.23343,,9.55e-05,20.7,,,,,,,,,,,
65,1.23342,0.60309,8.43e-05,20.5,0.0,0.0,0.0,1.0,0.4081,0.6361,0.8589,0.6105,0.6139,0.665,0.4291
