epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,attn_w_L1,attn_w_L2,attn_w_L3,attn_w_L4,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.50649,0.96925,2.04373,0.0,0.0,0.0,0.0761,0.0002999,24.1,0.2393,0.25109,0.24683,0.26278,0.0428,0.0667,0.0217,0.0,0.2385,0.1282,0.0349
2,A,5.0,1.48762,0.96801,2.00723,0.0,0.0,0.0,,0.0002997,24.0,,,,,,,,,,,
3,A,5.0,1.47618,0.96719,1.98517,0.0,0.0,0.0,,0.0002993,23.9,,,,,,,,,,,
4,A,5.0,1.46615,0.96648,1.96583,0.0,0.0,0.0,,0.0002988,23.9,,,,,,,,,,,
5,A,5.0,1.45641,0.96574,1.94708,0.0,0.0,0.0,0.32566,0.0002982,23.9,0.22244,0.23616,0.25065,0.29075,0.1588,0.3586,0.4358,0.2615,0.3417,0.4333,0.2899
6,A,5.0,1.44778,0.9651,1.93047,0.0,0.0,0.0,,0.0002973,23.9,,,,,,,,,,,
7,A,5.0,1.43975,0.96446,1.91504,0.0,0.0,0.0,,0.0002964,23.9,,,,,,,,,,,
8,A,5.0,1.43317,0.96396,1.90238,0.0,0.0,0.0,,0.0002953,23.9,,,,,,,,,,,
9,A,5.0,1.42608,0.96339,1.88878,0.0,0.0,0.0,,0.000294,23.9,,,,,,,,,,,
10,A,5.0,1.41872,0.96278,1.87466,0.0,0.0,0.0,0.40803,0.0002927,24.0,0.20453,0.22167,0.25264,0.32116,0.134,0.6151,0.6598,0.2691,0.4376,0.5068,0.2338
11,A,5.0,1.41218,0.96224,1.86211,0.0,0.0,0.0,,0.0002911,23.9,,,,,,,,,,,
12,A,5.0,1.40589,0.96168,1.85009,0.0,0.0,0.0,,0.0002895,24.0,,,,,,,,,,,
13,A,5.0,1.40036,0.96127,1.83945,0.0,0.0,0.0,,0.0002877,24.0,,,,,,,,,,,
14,A,5.0,1.39349,0.96061,1.82638,0.0,0.0,0.0,,0.0002857,24.0,,,,,,,,,,,
15,A,5.0,1.38812,0.9602,1.81604,0.0,0.0,0.0,0.40439,0.0002837,24.0,0.1949,0.21462,0.25408,0.3364,0.2292,0.5113,0.6827,0.2967,0.3895,0.4459,0.2755
16,A,5.0,1.3826,0.95972,1.80547,0.0,0.0,0.0,,0.0002814,23.9,,,,,,,,,,,
17,A,5.0,1.37869,0.95935,1.79803,0.0,0.0,0.0,,0.0002791,24.0,,,,,,,,,,,
18,A,5.0,1.37393,0.95893,1.78893,0.0,0.0,0.0,,0.0002766,23.9,,,,,,,,,,,
19,A,5.0,1.36891,0.95847,1.77934,0.0,0.0,0.0,,0.0002741,23.8,,,,,,,,,,,
20,A,5.0,1.3644,0.95813,1.77066,0.0,0.0,0.0,0.47656,0.0002714,23.9,0.17887,0.20207,0.25399,0.36507,0.2685,0.6458,0.7939,0.3461,0.4202,0.5606,0.3007
21,B,5.0,1.8415,0.96036,1.81598,76.30689,-0.844437,0.449915,,0.0002685,39.8,,,,,,,,,,,
22,B,5.0,1.81428,0.95948,1.79563,76.19843,-0.863315,0.425606,,0.0002656,39.6,,,,,,,,,,,
23,B,5.0,1.79933,0.95885,1.78192,76.09231,-0.870104,0.412294,,0.0002625,39.8,,,,,,,,,,,
24,B,5.0,1.78525,0.95819,1.76858,75.98093,-0.877076,0.402379,,0.0002593,39.7,,,,,,,,,,,
25,B,5.0,1.77701,0.95786,1.76092,75.86114,-0.879336,0.3947,0.45996,0.0002561,39.6,0.16532,0.19084,0.2516,0.39225,0.2356,0.6086,0.8414,0.2504,0.4739,0.5059,0.304
26,B,5.0,1.76739,0.95735,1.75187,75.73392,-0.883731,0.389222,,0.0002527,39.7,,,,,,,,,,,
27,B,5.0,1.76133,0.95717,1.74653,75.60628,-0.885245,0.384156,,0.0002492,39.7,,,,,,,,,,,
28,B,5.0,1.75352,0.95682,1.7392,75.47572,-0.888332,0.379671,,0.0002456,39.6,,,,,,,,,,,
29,B,5.0,1.74726,0.95652,1.73329,75.34901,-0.89037,0.376187,,0.0002419,39.7,,,,,,,,,,,
30,B,5.0,1.76325,0.95782,1.75766,75.58661,-0.900368,0.399323,0.48084,0.0002382,39.7,0.15672,0.18239,0.25001,0.41088,0.2323,0.605,0.8603,0.346,0.5249,0.4772,0.3202
31,B,5.0,1.695,0.95107,1.63304,75.4664,-0.901652,0.396419,,0.0002343,39.6,,,,,,,,,,,
32,B,4.887,1.67011,0.94861,1.59282,75.33839,-0.905895,0.395817,,0.0002304,39.7,,,,,,,,,,,
33,B,4.776,1.66073,0.94798,1.58158,75.20158,-0.908099,0.39195,,0.0002264,39.6,,,,,,,,,,,
34,B,4.668,1.65364,0.94748,1.5747,75.06742,-0.910499,0.388527,,0.0002223,39.6,,,,,,,,,,,
35,B,4.562,1.64714,0.94704,1.56794,74.93406,-0.91228,0.385763,0.55278,0.0002181,39.6,2e-05,2e-05,2e-05,0.99994,0.3278,0.6354,0.8823,0.4823,0.5804,0.5867,0.3746
36,B,4.459,1.64265,0.94679,1.56371,74.79172,-0.912986,0.383894,,0.0002139,39.6,,,,,,,,,,,
37,B,4.358,1.63477,0.94628,1.55655,74.63387,-0.917062,0.382196,,0.0002096,39.6,,,,,,,,,,,
38,B,4.259,1.63243,0.94622,1.55498,74.48402,-0.916516,0.38101,,0.0002052,39.7,,,,,,,,,,,
39,B,4.163,1.62695,0.94592,1.55032,74.31462,-0.918842,0.380437,,0.0002008,39.6,,,,,,,,,,,
40,B,4.068,1.63213,0.94639,1.55797,74.37555,-0.921829,0.388407,0.52872,0.0001964,39.7,0.0,0.0,0.0,1.0,0.2786,0.6038,0.8825,0.4671,0.5447,0.5621,0.3623
41,B,3.976,1.62408,0.94596,1.55113,74.15814,-0.924838,0.385486,,0.0001918,39.7,,,,,,,,,,,
42,B,3.886,1.62012,0.94582,1.54832,73.96276,-0.92502,0.383713,,0.0001873,39.9,,,,,,,,,,,
43,B,3.798,1.61585,0.94558,1.54486,73.78705,-0.925784,0.382594,,0.0001827,39.8,,,,,,,,,,,
44,B,3.712,1.61171,0.94534,1.54159,73.61275,-0.926225,0.380933,,0.0001781,39.6,,,,,,,,,,,
45,B,3.628,1.60773,0.9451,1.53852,73.45415,-0.92716,0.379837,0.56828,0.0001735,39.6,0.0,0.0,0.0,1.0,0.3929,0.6653,0.9068,0.4986,0.5367,0.5898,0.3878
