level,class_idx,class_name,ap
1,1,LV,0.09821275330951038
1,2,RV,0.20483680801419926
1,3,LA,0.03684210197040128
1,4,RA,0.10256850925914718
1,5,Myo,0.18686112529821386
1,6,Aorta,0.16575199932875959
1,7,PA,0.13841607871182524
2,1,LV,0.10304191727181589
2,2,RV,0.24443317864336506
2,3,LA,0.16939331259393742
2,4,RA,0.17146966160741184
2,5,Myo,0.19607916952318644
2,6,Aorta,0.23478397271357293
2,7,PA,0.09006990858715427
3,1,LV,0.2787307990976602
3,2,RV,0.3242243887425577
3,3,LA,0.2429794931153128
3,4,RA,0.3223878110755112
3,5,Myo,0.38089616013275196
3,6,Aorta,0.34372359832117627
3,7,PA,0.20695329080566702
4,1,LV,0.34001694802071686
4,2,RV,0.32303878006887093
4,3,LA,0.2272613782681956
4,4,RA,0.3610992716271276
4,5,Myo,0.43881218774378405
4,6,Aorta,0.32544546953040704
4,7,PA,0.20421918216815665
