level,class_idx,class_name,proto_idx,purity,n_samples
1,1,LV,0,0.04,50
1,1,LV,1,0.26,50
1,1,LV,2,0.16,50
1,1,LV,3,0.16,50
1,2,RV,0,0.18,50
1,2,RV,1,0.08,50
1,2,RV,2,0.06,50
1,2,RV,3,0.26,50
1,3,LA,0,0.54,50
1,3,LA,1,0.14,50
1,3,LA,2,0.08,50
1,3,LA,3,0.08,50
1,4,RA,0,0.12,50
1,4,RA,1,0.08,50
1,4,RA,2,0.02,50
1,4,RA,3,0.12,50
1,5,Myo,0,0.02,50
1,5,Myo,1,0.22,50
1,5,Myo,2,0.2,50
1,5,Myo,3,0.3,50
1,6,Aorta,0,0.52,50
1,6,Aorta,1,0.0,50
1,6,Aorta,2,0.12,50
1,6,Aorta,3,0.38,50
1,7,PA,0,0.02,50
1,7,PA,1,0.08,50
1,7,PA,2,0.08,50
1,7,PA,3,0.14,50
