level,class_idx,class_name,proto_idx,purity,n_samples
3,1,LV,0,1.0,50
3,1,LV,1,0.98,50
3,2,RV,0,0.94,50
3,2,RV,1,1.0,50
3,3,LA,0,1.0,50
3,3,LA,1,0.82,50
3,4,RA,0,0.84,50
3,4,RA,1,0.72,50
3,5,Myo,0,0.74,50
3,5,Myo,1,1.0,50
3,6,Aorta,0,1.0,50
3,6,Aorta,1,0.26,50
3,7,PA,0,0.94,50
3,7,PA,1,0.74,50
4,1,LV,0,0.72,50
4,1,LV,1,0.84,50
4,2,RV,0,0.86,50
4,2,RV,1,1.0,50
4,3,LA,0,0.5,50
4,3,LA,1,0.7,50
4,4,RA,0,0.78,50
4,4,RA,1,0.1,50
4,5,Myo,0,0.24,50
4,5,Myo,1,0.92,50
4,6,Aorta,0,0.6,50
4,6,Aorta,1,0.5,50
4,7,PA,0,0.5,50
4,7,PA,1,0.5,50
